Date,CHF/EUR
2020-12-31,0.9305790066719055
2021-01-31,0.9249420166015625
2021-02-28,0.9100499749183655
2021-03-31,0.905551016330719
2021-04-30,0.9072759747505188
2021-05-31,0.9112600088119507
2021-06-30,0.9123920202255249
2021-07-31,0.9277499914169312
2021-08-31,0.9241549968719482
2021-09-30,0.9224240183830261
2021-10-31,0.9438220262527466
2021-11-30,0.9593250155448914
2021-12-31,0.9661930203437805
2022-01-31,0.9628159999847412
2022-02-28,0.9648129940032959
2022-03-31,0.9704099893569946
2022-04-30,0.9739940166473389
2022-05-31,0.968550980091095
2022-06-30,1.0030690431594849
2022-07-31,1.0261210203170776
2022-08-31,1.0240700244903564
2022-09-30,1.0433399677276611
2022-10-31,1.0079929828643799
2022-11-30,1.0145690441131592
2022-12-31,1.0057330131530762
2023-01-31,0.9957979917526245
2023-02-28,1.007200002670288
2023-03-31,1.0038950443267822
2023-04-30,1.000599980354309
2023-05-31,1.0282779932022095
2023-06-30,1.0232590436935425
2023-07-31,1.0427199602127075
2023-08-31,1.0418510437011719
2023-09-30,1.0326310396194458
2023-10-31,1.044211983680725
2023-11-30,1.043362021446228
2023-12-31,1.0756160020828247
2024-01-31,1.0698699951171875
2024-02-29,1.0496699810028076
2024-03-31,1.026162028312683
2024-04-30,1.0242749452590942
2024-05-31,1.0218299627304077
2024-06-30,1.0378830432891846
2024-07-31,1.0480600595474243
2024-08-31,1.0645090341567993
2024-09-30,1.064079999923706
2024-10-31,1.0627299547195435
2024-11-30,1.0716960430145264
2024-12-31,1.0637619495391846
2025-01-31,1.0572400093078613
2025-02-28,1.0687700510025024
2025-03-31,1.0486700534820557
2025-04-30,1.0661439895629883
2025-05-31,1.0707780122756958
2025-06-30,1.067965030670166
2025-07-31,1.075600028038025
2025-08-31,1.0683759450912476
2025-09-30,1.0689359903335571
2025-10-31,1.077934980392456
2025-11-30,1.0714670419692993
