portfolio,expected_return,volatility,sharpe_ratio,gross_exposure
Minimum-Variance (Unconstrained),1.3233578578893508,3.760526812188532e-05,35190.7571460497,3.3459587348687467
Tangency (Unconstrained),0.7899133207160495,3.892333149685856,0.20294083017529013,1.0000000000000002
Equal-Weighted,0.7899133207160495,3.892333149685856,0.20294083017529013,1.0
