return,volatility
1.3233578578893663,1.10368614970081e-05
1.6030338263271315,8.91704501877459e-06
1.8827097948038958,5.131637167885969e-06
2.1623857632476615,4.350846696621807e-06
2.4420617316947024,3.591348672660209e-05
2.7217377000841494,5.803712498595745e-05
3.0014136686666424,1.1864176004396008e-05
3.2810896369992975,2.8956701784273765e-05
3.5607656054971244,4.229553633605235e-06
3.8404415740753297,3.2075080145735616e-05
4.120117542417266,6.78846389934453e-06
4.3997935111861555,3.624343641257772e-05
4.679469479416211,2.366539310965212e-05
4.9591454477433,1.6971183266141484e-05
5.238821416380104,2.440756458761647e-05
