Country,N Stocks,Mean Beta,Median Beta,Std Beta,Mean R²,Median R²,% Significant Betas
France,38,-0.827,0.599,8.886,0.204,0.203,78.9
Germany,40,0.639,0.601,0.299,0.223,0.237,87.5
Italy,27,0.561,0.532,0.242,0.21,0.208,81.5
Spain,35,0.603,0.554,0.266,0.213,0.187,88.6
Sweden,27,0.562,0.604,0.229,0.246,0.174,88.9
Switzerland,16,0.663,0.641,0.268,0.243,0.219,93.8
UnitedKingdom,66,1.648,0.672,7.6,0.18,0.153,80.3
