Period,γ₀ Mean,t(γ₀),γ₁ Mean,t(γ₁),N Months,Avg R²
Period A (2021-2022),1.6985,2.496,-1.7935,-1.361,24,0.06
Period B (2023-2025),1.4288,3.978,-0.3989,-0.391,35,0.048
