Portfolio,Beta Range,Portfolio Beta,Average Return (%),Std Return (%),N Stocks
P1,0.116 - 0.594,0.425,0.8,2.14,49
P2,0.596 - 0.777,0.689,1.04,3.13,49
P3,0.781 - 0.983,0.882,1.06,3.94,49
P4,0.987 - 1.250,1.112,0.49,4.91,49
P5,1.260 - 2.107,1.478,0.55,6.44,49
