Date,SEK/EUR
2020-12-31,0.09918700158596039
2021-01-31,0.0985030010342598
2021-02-28,0.09898799657821655
2021-03-31,0.09765200316905975
2021-04-30,0.09852699935436249
2021-05-31,0.09868799895048141
2021-06-30,0.09856799989938736
2021-07-31,0.09828399866819382
2021-08-31,0.09822999686002731
2021-09-30,0.0978889986872673
2021-10-31,0.10055000334978104
2021-11-30,0.09769099950790405
2021-12-31,0.09758999943733215
2022-01-31,0.0951400026679039
2022-02-28,0.09352099895477295
2022-03-31,0.09682299941778183
2022-04-30,0.09627900272607803
2022-05-31,0.09508299827575684
2022-06-30,0.09352000057697296
2022-07-31,0.09598000347614288
2022-08-31,0.09339399635791779
2022-09-30,0.09127700328826904
2022-10-31,0.0914750024676323
2022-11-30,0.0913579985499382
2022-12-31,0.08956199884414673
2023-01-31,0.08860599994659424
2023-02-28,0.09069100022315979
2023-03-31,0.08850699663162231
2023-04-30,0.08836200088262558
2023-05-31,0.08573500066995621
2023-06-30,0.08468899875879288
2023-07-31,0.08610399812459946
2023-08-31,0.08441299945116043
2023-09-30,0.08660200238227844
2023-10-31,0.08448400348424911
2023-11-30,0.08789800107479095
2023-12-31,0.09002500027418137
2024-01-31,0.08858100324869156
2024-02-29,0.08923300355672836
2024-03-31,0.08657599985599518
2024-04-30,0.085316002368927
2024-05-31,0.08715599775314331
2024-06-30,0.08802399784326553
2024-07-31,0.08584599941968918
2024-08-31,0.08824300020933151
2024-09-30,0.08873900026082993
2024-10-31,0.08621499687433243
2024-11-30,0.08669199794530869
2024-12-31,0.08709999918937683
2025-01-31,0.08697900176048279
2025-02-28,0.0893850028514862
2025-03-31,0.09226799756288528
2025-04-30,0.09096000343561172
2025-05-31,0.09202200174331665
2025-06-30,0.08997499942779541
2025-07-31,0.08939100056886673
2025-08-31,0.09026899933815002
2025-09-30,0.09048199653625488
2025-10-31,0.09152600169181824
2025-11-30,0.09082700312137604
