Date,GBP/EUR
2020-12-31,1.1080299615859985
2021-01-31,1.1294000148773193
2021-02-28,1.1532000303268433
2021-03-31,1.1724300384521484
2021-04-30,1.1504700183868408
2021-05-31,1.163140058517456
2021-06-30,1.1627000570297241
2021-07-31,1.1709400415420532
2021-08-31,1.16621994972229
2021-09-30,1.157099962234497
2021-10-31,1.1838899850845337
2021-11-30,1.178920030593872
2021-12-31,1.1917999982833862
2022-01-31,1.2017300128936768
2022-02-28,1.195889949798584
2022-03-31,1.176900029182434
2022-04-30,1.1920000314712524
2022-05-31,1.173799991607666
2022-06-30,1.16103994846344
2022-07-31,1.1901999711990356
2022-08-31,1.1629400253295898
2022-09-30,1.1360700130462646
2022-10-31,1.164639949798584
2022-11-30,1.1570600271224976
2022-12-31,1.1231000423431396
2023-01-31,1.1381200551986694
2023-02-28,1.1367700099945068
2023-03-31,1.135599970817566
2023-04-30,1.1287000179290771
2023-05-31,1.1564500331878662
2023-06-30,1.1606099605560303
2023-07-31,1.165869951248169
2023-08-31,1.162909984588623
2023-09-30,1.1521999835968018
2023-10-31,1.1460200548171997
2023-11-30,1.1568299531936646
2023-12-31,1.152400016784668
2024-01-31,1.170300006866455
2024-02-29,1.1680500507354736
2024-03-31,1.1685999631881714
2024-04-30,1.172029972076416
2024-05-31,1.1748000383377075
2024-06-30,1.1797000169754028
2024-07-31,1.1868300437927246
2024-08-31,1.187000036239624
2024-09-30,1.1980899572372437
2024-10-31,1.1933000087738037
2024-11-30,1.2030999660491943
2024-12-31,1.205780029296875
2025-01-31,1.1947699785232544
2025-02-28,1.2119200229644775
2025-03-31,1.1952600479125977
2025-04-30,1.1774300336837769
2025-05-31,1.1858999729156494
2025-06-30,1.1697800159454346
2025-07-31,1.1598700284957886
2025-08-31,1.155400037765503
2025-09-30,1.145259976387024
2025-10-31,1.1370600461959839
2025-11-30,1.1411000490188599
