Date,1COV.DE,ADS.DE,AFX.DE,ALV.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,ENR.DE,EOAN.DE,EVK.DE,FRE.DE,HEI.DE,HEN3.DE,HFG.DE,IFX.DE,LEG.DE,MRK.DE,MTX.DE,MUV2.DE,PAH3.DE,PUM.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,UTDI.DE,VNA.DE,VOW3.DE,ZAL.DE
2020-12-31,45.67072677612305,284.67950439453125,105.000732421875,157.34320068359375,42.72404098510742,91.02655792236328,54.03837585449219,55.38843536376953,4.897406101226807,95.20382690429688,126.17958068847656,8.022884368896484,36.74626541137695,12.65585231781006,29.84603500366211,7.296493053436279,20.350902557373047,34.03264617919922,52.06779479980469,80.99375915527344,63.20000076293945,30.061004638671875,109.99604034423828,131.27728271484375,203.54344177246097,200.72157287597656,45.580379486083984,85.64262390136719,42.12330627441406,80.36811828613281,30.247465133666992,98.76033020019533,38.523963928222656,102.76481628417967,338.8910217285156,103.0751953125,31.50800895690918,38.649070739746094,98.1289291381836,91.05999755859376
2021-01-31,50.80958557128906,250.37271118164065,124.38101959228516,146.2264862060547,44.285545349121094,87.07474517822266,52.377498626708984,56.6126823425293,5.096428394317627,90.8852996826172,120.15377807617188,7.502907752990723,37.027530670166016,12.440054893493652,30.423059463500977,7.027624607086182,20.73229217529297,33.07030487060547,51.8976936340332,75.0267105102539,69.80000305175781,31.72254943847656,102.49906158447266,128.798583984375,183.13186645507812,180.88088989257812,46.46935272216797,74.96977233886719,44.32622528076172,81.0735855102539,31.026180267333984,96.53126525878906,42.46996307373047,111.87654876708984,404.9727783203125,97.65518188476562,32.807491302490234,35.66114044189453,100.717041015625,94.72000122070312
2021-02-28,54.24755859375,276.07891845703125,119.84931182861328,156.63763427734375,44.46742248535156,78.93980407714844,53.49222946166992,56.19294357299805,5.049927711486816,93.35862731933594,122.82687377929688,9.156970977783203,37.25436019897461,12.719320297241213,31.08962059020996,6.802225589752197,21.273862838745117,31.87413024902344,55.69093322753906,71.5868911743164,64.5,34.475826263427734,97.94546508789062,125.85222625732422,187.9009246826172,200.88690185546875,53.64583206176758,81.65190887451172,40.68446731567383,76.6922378540039,27.42133331298828,94.00743865966795,42.057010650634766,111.9115219116211,419.5699462890625,91.96893310546876,33.38402557373047,34.10897445678711,111.3913345336914,85.0199966430664
2021-03-31,51.877166748046875,254.38629150390625,123.89891815185548,170.16114807128906,47.87434387207031,86.84342193603516,66.1882095336914,63.66084671020508,4.862066745758057,88.49048614501953,128.3996124267578,9.133663177490234,42.38976287841797,14.530322074890137,30.452905654907227,7.9887919425964355,23.005369186401367,34.1585578918457,65.87995910644531,84.11767578125,63.599998474121094,34.84109115600586,97.09708404541016,136.3749542236328,191.4300079345703,217.09011840820312,73.0740737915039,77.53126525878906,40.952388763427734,80.2010269165039,29.24125289916992,96.18124389648438,43.10271835327149,125.65616607666016,419.3726806640625,98.32080841064452,31.297523498535156,36.0233154296875,153.61215209960938,83.63999938964844
2021-04-30,49.23535919189453,245.45127868652344,141.3026123046875,169.6515655517578,47.75013732910156,90.50607299804688,62.3951301574707,65.3048324584961,5.106657981872559,88.44336700439453,129.84945678710938,10.404916763305664,44.4176139831543,13.54019546508789,27.657325744628903,8.070900917053223,22.212078094482425,36.76676940917969,64.82533264160156,83.85441589355469,69.0,32.345218658447266,100.16167449951172,136.7023468017578,200.205078125,198.94415283203125,70.77888488769531,81.41060638427734,40.21808242797851,80.47950744628906,27.59632682800293,107.54761505126952,44.296905517578125,124.59707641601562,463.5301208496094,102.12432098388672,32.038780212402344,35.3377685546875,139.51280212402344,86.54000091552734
2021-05-31,53.01918029785156,285.10955810546875,146.26821899414062,168.9067840576172,47.421329498291016,94.06902313232422,64.86399841308594,67.45601654052734,6.136173248291016,94.92900848388672,121.15052795410156,10.930273056030272,50.6281852722168,14.899627685546877,25.86656379699707,7.9590067863464355,22.311241149902344,39.70325469970703,63.498558044433594,83.89659118652344,74.76000213623047,32.056121826171875,103.79761505126952,139.3691864013672,202.57797241210935,202.95413208007812,74.75505065917969,87.07185363769531,39.97993469238281,78.80865478515625,27.70780563354492,104.5632553100586,42.897464752197266,119.05023193359376,400.10589599609375,103.17028045654295,31.242616653442383,34.05497741699219,147.04531860351562,87.41999816894531
2021-06-30,50.391353607177734,303.14312744140625,157.64529418945312,172.33865356445312,47.17261505126953,98.83853149414062,68.35396575927734,68.5753173828125,5.563290119171143,97.3473892211914,136.3452606201172,9.849079132080078,52.04359817504883,15.61681842803955,25.289541244506836,8.220465660095215,21.571348190307617,40.334720611572266,63.31722259521485,79.6221694946289,81.9800033569336,32.5909538269043,108.47022247314452,152.73464965820312,200.5617828369141,198.485107421875,73.02558135986328,93.48796081542967,40.446311950683594,79.17417907714844,27.447341918945312,111.2926788330078,48.215335845947266,119.92982482910156,433.6950073242187,112.73511505126952,32.02373123168945,36.30577850341797,135.9718475341797,101.9499969482422
2021-07-31,50.206295013427734,295.6105041503906,181.68634033203125,172.09278869628906,46.32514953613281,97.28431701660156,64.19808197021484,74.95099639892578,5.05922794342041,89.98233795166016,130.37088012695312,9.555023193359377,51.816768646240234,15.348528861999512,22.822269439697266,8.741304397583008,23.240562438964844,40.6326789855957,65.45288848876953,76.43872833251953,79.08000183105469,30.967185974121097,119.09841918945312,163.0775146484375,202.6739959716797,195.8638153076172,73.76908874511719,96.23078155517578,44.84222030639648,76.95006561279297,26.953359603881836,113.16566467285156,51.94717025756836,118.09883880615234,503.6394653320313,119.25936126708984,32.41381072998047,37.41120147705078,132.3021697998047,93.76000213623048
2021-08-31,50.798484802246094,290.15411376953125,181.00914001464844,163.06201171875,43.4281005859375,99.80992126464844,61.51168441772461,76.05480194091797,4.938326835632324,89.3698959350586,135.32638549804688,9.4384765625,54.057838439941406,15.78866195678711,24.4538516998291,9.420583724975586,22.685331344604492,40.3851432800293,64.4200668334961,73.98853302001953,91.27999877929688,34.75436782836914,120.57208251953124,190.04458618164065,186.59255981445312,212.66567993164065,71.00446319580078,95.5799331665039,46.50929260253906,78.7369613647461,29.71965217590332,119.365234375,54.95130157470703,126.41009521484376,551.2570190429688,115.70941162109376,34.00199890136719,38.06379699707031,132.6865692138672,93.8000030517578
2021-09-30,54.906776428222656,262.4858703613281,160.64439392089844,159.66934204101562,43.29914093017578,90.7857437133789,63.34088897705078,71.7286376953125,5.352179527282715,83.23075103759766,130.13931274414062,9.89569854736328,49.43052673339844,15.25208568572998,23.110780715942383,8.906489372253418,21.630382537841797,38.079383850097656,56.70016098022461,71.69930267333984,79.95999908447266,34.23398971557617,109.14006805419922,177.245849609375,187.6006317138672,203.5987091064453,71.15349578857422,89.64802551269531,44.44529724121094,80.58087158203125,27.43835830688477,109.4571533203125,52.41364669799805,127.37944793701172,543.1560668945312,109.04124450683594,31.224994659423828,34.56107711791992,127.6374969482422,79.31999969482422
