Date,ACS.MC,ACX.MC,AMS.MC,ANA.MC,APAM.MC,BBVA.MC,BKT.MC,CABK.MC,CIE.MC,CLNX.MC,COL.MC,ELE.MC,ENG.MC,FAE.MC,FDR.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,IDR.MC,ITX.MC,LOG.MC,MAP.MC,MRL.MC,NTGY.MC,PHM.MC,RED.MC,REP.MC,SAB.MC,SAN.MC,SCYR.MC,SLR.MC,TEF.MC,UNI.MC,VIS.MC
2020-12-31,19.628847122192383,6.734776973724365,56.597755432128906,99.24729919433594,25.10324478149414,3.0199363231658936,2.3677377700805664,1.5632160902023315,18.93351936340332,45.24628829956055,6.529961109161377,15.753308296203612,11.77792739868164,2.719343662261963,17.921707153320312,20.259431838989254,23.21733856201172,1.7210257053375244,9.436537742614746,6.589150428771973,21.967132568359375,11.28803825378418,1.103404879570007,5.753093242645264,14.107821464538574,66.80776977539062,12.614365577697754,6.069394588470459,0.2797238826751709,2.1252193450927734,1.5750724077224731,23.63999938964844,2.183546304702759,0.5551639199256897,46.42137145996094
2021-01-31,18.594989776611328,6.923791408538818,49.9268913269043,105.200439453125,26.74248695373535,2.8193559646606445,2.4865520000457764,1.5527992248535156,18.641704559326172,44.50017166137695,6.468933582305908,15.331880569458008,12.35082721710205,2.9917659759521484,16.93793296813965,17.753896713256836,23.625682830810547,1.550940990447998,9.021170616149902,6.862911224365234,20.659568786621097,11.060283660888672,1.0796998739242554,5.849224090576172,15.856415748596191,98.80022430419922,11.775917053222656,6.179460048675537,0.2858873009681701,2.022223949432373,1.409767985343933,21.239999771118164,2.5179901123046875,0.4433546662330627,47.62367630004883
2021-02-28,18.62854385375977,7.272243976593018,54.64020538330078,113.44978332519533,25.43402862548828,3.445047378540039,2.9393341541290283,1.7908905744552612,19.761560440063477,41.49726104736328,6.5747151374816895,14.932230949401855,11.800392150878906,2.9876959323883057,19.076560974121097,18.50241470336914,20.24225425720215,2.139991044998169,8.523587226867676,6.867630958557129,23.038494110107425,11.401914596557615,1.1210622787475586,6.3483686447143555,15.409968376159668,103.1286163330078,10.595539093017578,7.924041748046875,0.3291892409324646,2.4262502193450928,1.665502667427063,18.600000381469727,2.498152256011963,0.5637048482894897,47.66459655761719
2021-03-31,20.775165557861328,8.39076042175293,57.37697219848633,121.52903747558594,28.29352569580078,3.312574625015259,3.2087604999542236,1.96350622177124,19.379528045654297,45.22786712646485,6.717113018035889,16.392757415771484,12.585274696350098,2.975484609603882,20.830238342285156,19.92774772644043,21.710350036621097,2.24569320678711,8.981447219848633,7.075311660766602,23.704933166503903,12.623246192932127,1.2665438652038574,6.448197364807129,15.551340103149414,93.10743713378906,11.539316177368164,8.034361839294434,0.3603222966194153,2.4258313179016113,1.7371546030044556,18.079999923706055,2.7043240070343018,0.6658084988594055,48.196475982666016
2021-04-30,19.9444522857666,8.707534790039062,53.880001068115234,123.05985260009766,31.882768630981445,3.4955668449401855,3.429994821548462,1.984339475631714,20.108863830566406,46.78059387207031,6.863580226898193,15.884119033813477,12.313453674316406,2.821622371673584,24.72254180908203,21.19171905517578,21.924245834350582,2.224552869796753,9.185850143432615,8.179797172546387,24.98719596862793,12.922021865844728,1.2768844366073608,6.798707962036133,16.353172302246094,89.39068603515625,11.673050880432127,7.5611252784729,0.4167412519454956,2.6921114921569824,1.8358745574951172,17.05500030517578,2.730184316635132,0.6370798349380493,46.55992126464844
2021-05-31,18.746170043945312,8.850838661193848,58.66932678222656,117.4468994140625,33.13277816772461,3.895280599594116,3.530102491378784,2.087760210037231,21.5501708984375,48.80934524536133,7.420965671539307,16.203834533691406,13.06435775756836,2.7532386779785156,28.27266502380371,21.54133415222168,22.19647789001465,2.2822086811065674,8.9896240234375,6.6174702644348145,27.051034927368164,13.385123252868652,1.328943967819214,7.014632701873779,16.429838180541992,72.81124877929688,12.548052787780762,8.311304092407227,0.4952852129936218,2.891988515853882,1.7578543424606323,15.9399995803833,2.848148822784424,0.7136906981468201,47.337284088134766
2021-06-30,16.60689926147461,7.681788444519043,56.36969375610352,108.2620620727539,32.485321044921875,3.9650559425354,3.190640449523926,1.9486565589904783,21.67172622680664,53.42375564575195,6.928677082061768,14.866836547851562,13.24104118347168,2.7402138710021973,28.614843368530273,22.364274978637695,22.206199645996097,1.9449222087860107,8.40503215789795,7.264113426208496,25.360877990722656,12.951899528503418,1.3236111402511597,6.680357456207275,16.621509552001953,71.84523010253906,11.963445663452148,8.029797554016113,0.4537216424942016,2.7192633152008057,1.7053091526031494,15.239999771118164,2.79217791557312,0.6776536703109741,48.11464309692383
2021-07-31,17.1986026763916,8.866594314575195,52.49260711669922,109.8779067993164,40.24065780639648,4.103847026824951,3.467628717422486,1.8817980289459229,21.810651779174805,54.655242919921875,7.315184593200684,15.840465545654297,13.15609645843506,2.7026920318603516,29.21366310119629,22.590173721313477,21.191755294799805,1.8954343795776367,8.306918144226074,8.326117515563965,24.40483283996582,13.571856498718262,1.2898244857788086,7.233994483947754,16.705846786499023,68.2273941040039,13.37405776977539,7.0156121253967285,0.4633618295192718,2.6077728271484375,1.6711599826812744,16.264999389648438,2.8809375762939453,0.6075380444526672,48.151458740234375
2021-08-31,17.741880416870117,9.075360298156738,49.147674560546875,120.69012451171876,38.93433380126953,4.206993579864502,3.735585212707519,1.977202534675598,21.33827018737793,57.69938278198242,7.643599510192871,15.724617004394531,13.780206680297852,2.7158353328704834,29.77119827270508,22.156444549560547,20.450439453125,1.790212631225586,8.789865493774414,8.623478889465332,24.6779842376709,13.736184120178224,1.355912446975708,7.565870761871338,16.71350860595703,69.1176528930664,13.50599765777588,7.598334789276123,0.4788494408130646,2.6415576934814453,1.70706307888031,16.799999237060547,3.116047620773315,0.61380535364151,49.17945861816406
2021-09-30,18.199785232543945,8.73660945892334,54.051048278808594,125.60193634033205,36.44706726074219,4.335926055908203,3.81461763381958,2.016265630722046,19.093982696533203,53.023738861083984,6.988910675048828,13.453970909118652,13.737290382385254,2.776625156402588,29.642133712768555,22.798004150390625,20.83592414855957,1.9987342357635496,7.273101806640625,8.760358810424805,27.16200828552246,13.902043342590332,1.3997234106063845,6.784355163574219,16.907960891723633,70.53826141357422,13.841848373413086,8.845541954040527,0.573354959487915,2.6491591930389404,1.7348074913024902,13.675000190734863,3.0158185958862305,0.7058565616607666,46.50666046142578
