country,ticker,beta,alpha,beta_tstat,alpha_tstat,r_squared,beta_se,alpha_se,pvalue_beta,pvalue_alpha,n_observations,is_valid
France,AC.PA,0.963454620897724,0.3305298035618065,3.628086437422372,0.3628753590178838,0.2135607802459095,0.2655544837521083,0.9108631802842166,0.0002855296741576,0.7166979945743128,59,True
France,AI.PA,0.8138232411557617,0.1508848197548887,7.110078566739087,0.3107341815840183,0.4228518777081391,0.1144605131317145,0.4855752237675582,1.1597691443623773e-12,0.7560027095611417,59,True
France,AIR.PA,1.068647317689796,0.7864819235951463,4.886656557557942,0.9597438018923778,0.3188871817876895,0.2186868066340724,0.8194706983722095,1.0256277604625265e-06,0.3371841723981373,59,True
France,BN.PA,0.2562957910479865,0.6484442081565898,2.246142886521329,1.086780217970453,0.0547939422124,0.1141048472855258,0.5966654503221914,0.024694857109468,0.2771339522816398,59,True
France,BNP.PA,1.050138130612834,0.83161616401847,5.496522442561497,0.9222444206731698,0.2652793089249964,0.1910550064312022,0.9017307617989732,3.87353818418508e-08,0.3564010975397512,59,True
France,CA.PA,0.7059416374514415,-0.2566827864232015,3.7328620951261264,-0.382488013584348,0.2347458986075451,0.189115381029791,0.6710871381766755,0.0001893162572462,0.702099418051204,59,True
France,CS.PA,0.7365749975509224,1.1189373830374465,4.9480295992062056,1.6172340489389878,0.2522778486254176,0.1488622860439413,0.6918833942258036,7.496851078894096e-07,0.1058277692015959,59,True
France,DSY.PA,0.7824328561970603,-0.9970951174899506,3.736895748519803,-1.117119630882967,0.1728881098098701,0.2093804346848542,0.8925589434874138,0.0001863061222129,0.2639431779570006,59,True
France,EL.PA,0.8908481796998561,1.016166266224259,6.1887191598982,1.5987788524107232,0.3301179684062513,0.1439471006330993,0.6355890088813908,6.065503499740911e-10,0.1098697495723646,59,True
France,EN.PA,0.622267132540118,0.409712583749674,3.8012087686959832,0.5409359658153269,0.1748892056356999,0.1637024353054906,0.7574142036056594,0.0001439919138989,0.5885517198930796,59,True
France,ENGI.PA,0.510699221614808,1.2679797544968678,2.803493987179357,1.5796163153134988,0.0980941502770209,0.182165263756685,0.8027137616929577,0.0050552174876379,0.1141947605891052,59,True
France,ENX.PA,0.7075825392699666,0.4866671913888102,3.826089901567177,0.677249058735939,0.2177733224603349,0.18493620314048,0.7185941200083128,0.0001301947587052,0.498247945904635,59,True
France,ERF.PA,0.865813031895877,-0.6419135307441209,3.9416656751703743,-0.6084587127369896,0.1608087530450751,0.2196566383977893,1.0549828892360564,8.09177131905248e-05,0.5428832812094503,59,True
France,GET.PA,0.6173153000605629,-0.1611917416577862,3.369966285754182,-0.2727680022673686,0.2225920744204144,0.1831814468501161,0.5909481329110784,0.0007517738094462,0.7850315576362643,59,True
France,LR.PA,1.0742782221646718,0.3543295054060325,8.55795204105668,0.5523611477632958,0.4238568597579157,0.1255298250108009,0.6414815865323567,1.1489013624182198e-17,0.580700943947658,59,True
France,MC.PA,1.2389773485286055,-0.3587025877066947,6.538285061523718,-0.4605926229766153,0.4171233495090566,0.1894957679070461,0.7787849171108117,6.222823337130898e-11,0.6450909052349927,59,True
France,ML.PA,1.057161169733716,-0.3914530321858023,7.716515895061634,-0.6400582931124701,0.4657721866286952,0.1369998045893058,0.6115896573767489,1.1955267400605196e-14,0.5221347023104332,59,True
France,OR.PA,0.8753360253345394,-0.2203058489448063,5.138714204804684,-0.3185925575921834,0.3181412797151299,0.1703414493291147,0.6914971605419934,2.766247411014691e-07,0.7500354977719891,59,True
France,ORA.PA,0.4702151141075352,0.8866830348249499,2.5063491795259747,1.2909232080655253,0.1103170102732125,0.1876095788841628,0.6868596282761563,0.012198508672142,0.1967303069528461,59,True
France,PUB.PA,0.7313055912980382,1.0416201568611172,5.355082730474336,1.473328477199647,0.2139853234363437,0.1365628932558548,0.706984337152651,8.551727995658189e-08,0.140662485577046,59,True
France,RMS.PA,1.1765633560892264,0.788295873562777,5.100889255508054,0.8580736907515824,0.3046646542407693,0.2306584787777439,0.9186808569696532,3.3806133723940177e-07,0.3908517738348022,59,True
France,SAF.PA,0.9681009543369,0.92304605621648,5.492048852031697,1.2769028406177816,0.3334840161904595,0.1762731870053862,0.7228788493961676,3.972974528051775e-08,0.201636551157162,59,True
France,SAN.PA,0.4321369270459479,0.1679139104396313,2.217433494687554,0.2203150390938963,0.0855464597748068,0.1948815728098479,0.7621536465700278,0.0265934829811487,0.8256258083953465,59,True
France,SK.PA,0.9620106875678204,-2.059350034373058,3.412277076164019,-2.1047042558715923,0.1941481201275153,0.2819263108168474,0.9784510239992116,0.0006442259512949,0.0353170597987627,59,True
France,SOI.PA,1.0663491764778743,-3.0619271472244933,3.1565595167445113,-1.981088259926091,0.1020536310429616,0.3378200762004462,1.5455783617327203,0.0015964230419892,0.047581376634539,59,True
France,STLAP.PA,1.6681004517988387,1.3215394473318671,7.057529646224518,0.7072819410610138,0.1678685150869906,0.2363575550392767,1.8684761629137427,1.6948861423276577e-12,0.4793912857866843,59,True
France,STM,1.551109777789487,-1.529839617563288,4.6223450530038805,-1.3091194979905356,0.2905339598941164,0.335567717252411,1.1686019648409118,3.794262015678855e-06,0.1904938755328938,59,True
France,SU.PA,1.1236662502014738,0.4816531642611235,7.162511377044209,0.701049066703001,0.4121602021350358,0.1568816007473042,0.6870462955272366,7.92122919185537e-13,0.4832723946523927,59,True
France,SW.PA,0.6213918936624011,-0.1841274380955083,2.648677014394868,-0.2123448241589273,0.1231079491391917,0.2346046310234499,0.8671152632272311,0.0080807518467725,0.8318380280547684,59,True
