return,volatility
1.388594702965204,3.4041143321370875
1.6496613189426959,3.446349276244652
1.9107279349193738,3.548740074816921
2.171794550998682,3.7155164402293903
2.4328611667846487,3.9355697264470058
2.6939277828529895,4.209184357908884
2.954994398833754,4.551882432639032
3.216061014820601,4.971478932522691
3.477127630787495,5.454368649866934
3.73819424676716,6.000389260786701
3.999260862694279,6.60837704382587
4.2603235140604205,7.2734009177074554
4.521394094670274,7.982145972892959
4.7824607106501595,8.724195248938537
5.043527326649355,9.53355199028465
