Date,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AXFO.ST,BOL.ST,CAST.ST,ELUX-B.ST,ERIC,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,SAND.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2020-12-31,205.9698028564453,754.8432006835938,185.4471740722656,97.06295013427734,84.60737609863281,162.5889434814453,237.4490203857422,158.50685119628906,157.94239807128906,9.982998847961426,229.2935028076172,826.781494140625,176.23165893554688,106.46377563476562,137.83021545410156,136.0972900390625,247.4529571533203,64.90621948242188,167.57412719726562,132.7445526123047,60.69577407836914,52.20232772827149,178.51089477539062,99.45738983154295,72.31005859375,24.56757354736328,131.7718963623047
2021-01-31,199.8717041015625,738.6610107421875,189.6597900390625,104.9690399169922,90.23562622070312,170.38775634765625,224.0853576660156,152.6587677001953,168.9616241455078,10.417405128479004,231.7207946777344,807.765869140625,197.97393798828125,104.02690887451172,143.43959045410156,139.5496826171875,244.6538543701172,65.53384399414062,173.8175811767578,136.58885192871094,65.62327575683594,52.96070861816406,191.89505004882812,108.88418579101562,76.90434265136719,27.03753662109375,140.61109924316406
2021-02-28,237.8254547119141,732.9379272460938,193.8723907470703,111.12335968017578,94.04903411865234,170.55731201171875,272.56927490234375,149.62075805664062,164.6282196044922,10.467529296875,220.01773071289065,1041.400146484375,196.04739379882812,99.99089050292967,159.46636962890625,141.91183471679688,233.69564819335935,73.69298553466797,188.71861267089844,134.55091857910156,69.8037338256836,56.25969314575195,192.48060607910156,102.14881134033205,70.94509887695312,25.129440307617188,147.0705108642578
2021-03-31,240.2829132080078,795.890869140625,229.86289978027344,122.53304290771484,104.40959930419922,176.9998321533203,264.0133056640625,146.2789764404297,199.91452026367188,11.018892288208008,239.1761016845703,1273.6475830078125,222.46839904785156,114.48644256591795,157.66334533691406,158.17449951171875,252.8725128173828,83.11711883544922,198.6248779296875,143.16587829589844,76.46231079101562,59.95050811767578,207.6214141845703,109.31832122802734,78.435791015625,27.87002944946289,150.1981964111328
2021-04-30,260.6705627441406,842.8589477539062,220.9797515869141,118.24576568603516,100.96373748779295,182.96731567382812,268.73944091796875,159.257568359375,199.16651916503903,11.62606143951416,245.47671508789065,1655.9400634765625,262.8338317871094,114.74225616455078,167.31948852539062,163.28494262695312,278.7195739746094,85.01142120361328,174.23382568359375,137.5615234375,81.02322387695312,64.79002380371094,187.82357788085935,107.6356964111328,72.80945587158203,25.81458854675293,140.6450958251953
2021-05-31,290.0923156738281,854.5021362304688,235.302734375,116.67928314208984,99.046142578125,197.38034057617188,277.7367858886719,165.671142578125,197.0708770751953,11.322553634643556,254.4500274658203,1572.911376953125,271.81256103515625,117.67520904541016,169.7635498046875,174.07369995117188,316.70001220703125,85.91990661621094,187.6410675048828,127.55705261230467,79.08434295654297,61.35848236083984,192.37738037109375,107.88174438476562,76.18958282470703,27.390392303466797,158.36831665039062
2021-06-30,280.26495361328125,831.6189575195312,237.9797515869141,121.59893035888672,104.18598175048828,204.2847442626953,279.6930236816406,168.2983856201172,198.91502380371097,10.60593605041504,252.1400451660156,1340.0562744140625,299.4576110839844,126.23702239990234,162.6717071533203,181.68995666503903,342.6000061035156,92.06671905517578,187.6410675048828,129.91921997070312,82.44010925292969,63.72096252441406,187.22210693359375,115.23401641845705,79.60309600830078,28.72928047180176,150.1981964111328
2021-07-31,333.2028503417969,850.9725341796875,254.872802734375,135.05833435058594,113.1922836303711,201.09146118164065,285.2188415527344,186.30276489257812,189.2752227783203,9.720702171325684,250.09666442871097,1485.9127197265625,347.0480041503906,141.86732482910156,144.3370819091797,196.4738616943359,375.5,97.51763916015624,192.53382873535156,148.2144317626953,86.91447448730469,64.07731628417969,196.58750915527344,121.39950561523438,88.57874298095703,28.58555603027344,154.7359619140625
2021-08-31,324.4880676269531,758.7459716796875,254.5958709716797,137.47178649902344,115.57698822021484,197.0351104736328,255.80435180664065,194.1845245361328,183.23989868164065,9.96519660949707,245.92095947265625,1377.70947265625,328.4014892578125,148.8362274169922,138.59950256347656,190.11817932128903,338.1000061035156,98.0202178955078,188.84278869628903,141.03529357910156,86.42975616455078,64.05091857910156,189.0264587402344,120.57455444335938,90.6102294921875,28.018230438232425,148.92811584472656
2021-09-30,304.6479187011719,747.2916870117188,236.0411834716797,123.50180053710938,103.83869171142578,180.98231506347656,239.9918975830078,165.7484130859375,169.5765380859375,9.442486763000488,241.65646362304688,1322.4185791015625,324.50518798828125,135.3463897705078,142.92672729492188,174.2197265625,309.1499938964844,109.30867767333984,172.70533752441406,126.352783203125,92.39556121826172,64.88240051269531,178.37225341796875,128.30313110351562,90.96047973632812,27.32609748840332,150.3934326171875
