Date,monthly_rate_pct
2020-12-31,-0.0007
2021-01-31,-0.0007500000000000001
2021-02-28,-0.0007500000000000001
2021-03-31,-0.0007166666666666667
2021-04-30,-0.0007
2021-05-31,-0.0007500000000000001
2021-06-30,-0.0007500000000000001
2021-07-31,-0.0006666666666666666
2021-08-31,-0.0007500000000000001
2021-09-30,-0.0007500000000000001
2021-10-31,-0.0007500000000000001
2021-11-30,-0.0006916666666666667
2021-12-31,-0.0005833333333333333
2022-01-31,-0.0007083333333333334
2022-02-28,-0.0007666666666666667
2022-03-31,-0.0007500000000000001
2022-04-30,-0.0006666666666666666
2022-05-31,-0.0006666666666666666
2022-06-30,-0.000125
2022-07-31,-0.000125
2022-08-31,4.1666666666666665e-05
2022-09-30,0.00029166666666666664
2022-10-31,0.00025
2022-11-30,0.0004333333333333333
2022-12-31,0.00029166666666666664
2023-01-31,0.0007500000000000001
2023-02-28,0.000925
2023-03-31,0.0011333333333333334
2023-04-30,0.0009583333333333333
2023-05-31,0.001225
2023-06-30,0.0013750000000000001
2023-07-31,0.0013916666666666667
2023-08-31,0.0014583333333333334
2023-09-30,0.0012916666666666667
2023-10-31,0.0013416666666666666
2023-11-30,0.0013333333333333333
2023-12-31,0.001275
2024-01-31,0.0013333333333333333
2024-02-29,0.0012416666666666667
2024-03-31,0.0011333333333333334
2024-04-30,0.0011083333333333333
2024-05-31,0.0010416666666666667
2024-06-30,0.0009416666666666666
2024-07-31,0.000875
2024-08-31,0.0006583333333333334
2024-09-30,0.0006750000000000001
2024-10-31,0.0005458333333333334
2024-11-30,0.0006
2024-12-31,0.00030416666666666667
2025-01-31,0.0002291666666666667
2025-02-28,0.0001708333333333333
2025-03-31,8.75e-05
2025-04-30,0.000125
2025-05-31,9.166666666666667e-05
2025-06-30,-2.916666666666667e-05
2025-07-31,-8.333333333333333e-05
2025-08-31,-9.999999999999999e-05
2025-09-30,-0.00010833333333333333
2025-10-31,-0.00010833333333333333
2025-11-30,-8.333333333333333e-05
