Date,AC.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CO.PA,CS.PA,DSY.PA,EL.PA,EMEIS.PA,EN.PA,ENGI.PA,ENX.PA,ERF.PA,GET.PA,HO.PA,LR.PA,MC.PA,ML.PA,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SK.PA,SOI.PA,STLAP.PA,STM,SU.PA,SW.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,WLN.PA
2020-12-31,27.055477142333984,101.30242156982422,83.88929748535156,5464.04833984375,45.51006317138672,30.46982192993164,11.177311897277832,2519.0,14.484493255615234,32.36625289916992,114.28326416015624,6810.9140625,25.7281551361084,8.529325485229492,72.74298095703125,64.61528778076172,12.702542304992676,67.01114654541016,66.11447143554688,466.3231506347656,21.968242645263672,288.85430908203125,6.675260066986084,33.29247283935547,132.4083709716797,845.6132202148438,111.45240783691406,64.58465576171875,119.99992370605467,159.3000030517578,3.306720495223999,35.71885299682617,107.56676483154295,40.21971130371094,240.91827392578125,26.058916091918945,,15.822918891906738,79.0999984741211
2021-01-31,25.437631607055664,101.86834716796876,77.74102783203125,4638.376953125,46.52591323852539,28.119468688964844,11.1454439163208,2800.0,13.584781646728516,32.09353256225586,105.79893493652344,7225.7119140625,24.7877197265625,8.733701705932617,71.69400024414062,74.54812622070312,11.394662857055664,66.7132568359375,68.74093627929688,456.7139892578125,23.841665267944336,269.615966796875,6.917069435119629,34.92605972290039,132.7314910888672,810.0427856445312,100.0620574951172,63.31266021728515,126.36234283447266,166.0,6.005849838256836,38.488285064697266,109.97632598876952,42.68332290649414,239.9414825439453,25.75993537902832,,17.443958282470703,70.05999755859375
2021-02-28,31.589096069335938,94.09617614746094,89.61709594726562,4721.67431640625,47.79572296142578,34.83124542236328,11.507930755615234,2658.0,15.440625190734863,33.486366271972656,122.0757064819336,6299.85791015625,25.659343719482425,8.232978820800781,71.97640991210938,69.33221435546875,12.156099319458008,70.54447174072266,65.13634490966797,481.1857299804687,25.066192626953125,281.419189453125,6.805871486663818,39.647125244140625,134.1381072998047,887.528564453125,108.85713958740234,62.20478820800781,119.75831604003906,175.1999969482422,8.966806411743164,37.438175201416016,111.70393371582033,46.030120849609375,260.27703857421875,28.868675231933594,,17.673274993896484,73.80000305175781
2021-03-31,29.395408630371097,105.113037109375,90.20574951171876,4860.50439453125,49.52267074584961,36.67264938354492,12.304603576660156,2844.0,16.988399505615234,35.531776428222656,125.55712127685548,6256.794921875,26.141029357910156,8.246603012084961,69.31360626220703,76.74182891845703,11.717154502868652,76.19234466552734,71.83836364746094,520.6887817382812,26.71982765197754,303.7245178222656,7.488027095794678,42.505897521972656,136.4397735595703,907.52490234375,111.5485382080078,69.13922882080078,133.2401885986328,174.3000030517578,10.61813259124756,36.92756652832031,118.43254852294922,47.51759338378906,275.9948425292969,29.92186737060547,,17.285804748535156,71.44000244140625
2021-04-30,30.592796325683594,105.73180389404295,93.3826675415039,4137.1279296875,49.632720947265625,37.74003219604492,12.830406188964844,2905.0,17.4634952545166,37.58693313598633,125.15018463134766,6779.25,27.249670028686523,8.427136421203613,73.98062896728516,77.5326919555664,11.85152530670166,76.2463150024414,73.3598861694336,573.9400024414062,25.19178581237793,317.5259704589844,7.377542018890381,43.99245834350586,145.5187225341797,1005.2844848632812,119.3631820678711,71.61756896972656,134.21469116210938,168.10000610351562,9.852670669555664,35.9663200378418,120.95123291015624,48.28456497192383,285.14141845703125,28.16663932800293,,20.94697952270508,81.62999725341797
2021-05-31,30.035232543945312,104.94703674316406,99.66175842285156,4007.06640625,49.35335922241211,39.47893905639648,13.32036018371582,2640.0,16.761987686157227,36.67136764526367,128.29702758789062,6491.10791015625,25.521718978881836,8.277260780334473,77.5603256225586,83.10638427734375,11.730592727661133,75.41891479492188,77.56224060058594,601.4366455078125,26.33258628845215,346.3360595703125,7.420309543609619,45.332000732421875,153.57467651367188,1109.760986328125,117.61378479003906,71.37138366699219,134.9234161376953,166.8000030517578,11.84669303894043,36.014549255371094,117.65966033935548,46.01850891113281,281.44189453125,28.992712020874023,,20.322290420532227,78.27999877929688
2021-06-30,28.783004760742188,113.62017059326172,101.3249740600586,3811.273681640625,51.96316146850586,38.12491989135742,13.596137046813965,2675.0,16.87362289428711,39.95683670043945,141.8379669189453,6791.9150390625,25.02991104125977,8.201955795288086,82.46785736083984,90.76079559326172,11.825519561767578,78.63438415527344,82.17313385009766,610.0154418945312,28.68249130249023,353.3887634277344,6.853628635406494,44.05780029296875,159.58468627929688,1186.3192138671875,112.7754898071289,75.30172729492188,136.92083740234375,185.8999938964844,12.05514430999756,35.088626861572266,123.01189422607422,45.72798538208008,306.2223815917969,29.183929443359375,,20.690916061401367,78.94000244140625
2021-07-31,27.293123245239254,112.78914642333984,108.1086196899414,2995.52734375,54.31756591796875,37.100948333740234,12.837835311889648,2383.0,17.264198303222656,45.44723129272461,145.04583740234375,6779.25,26.07316017150879,7.987572193145752,84.35643768310547,94.94105529785156,12.144763946533203,80.88263702392578,87.38375091552734,621.6383666992188,29.364900588989254,362.886474609375,7.033336162567139,45.06551742553711,158.64697265625,1244.7420654296875,106.39014434814452,74.04045867919922,125.87015533447266,202.0,11.800047874450684,39.871585845947266,131.0037841796875,41.77690505981445,318.1206359863281,28.541492462158203,,22.486242294311523,78.91000366210938
2021-08-31,26.65329933166504,116.82117462158205,108.1086196899414,3265.95703125,54.151268005371094,38.74507141113281,13.813380241394045,2457.0,18.76337242126465,47.19106674194336,151.51617431640625,6807.90869140625,28.43250274658203,8.612266540527344,88.3584213256836,113.85871887207033,12.243684768676758,78.54299926757812,89.22496032714844,578.1909790039062,29.226289749145508,372.6662292480469,7.201776504516602,47.01310348510742,152.8031463623047,1201.7701416015625,102.49335479736328,74.67108917236328,119.67098236083984,202.3999938964844,12.345224380493164,42.92451858520508,140.2751007080078,40.68454360961914,334.9391174316406,29.043107986450195,,23.599178314208984,75.2699966430664
2021-09-30,28.28942489624023,106.63336944580078,107.54798126220705,3428.660400390625,51.68308639526367,39.97816848754883,12.743560791015623,2325.0,19.004030227661133,44.416561126708984,150.82359313964844,6431.1103515625,28.80967712402344,8.051461219787598,87.86380004882812,105.09742736816406,12.171741485595703,76.91618347167969,85.39524841308594,572.010498046875,28.319963455200195,335.56890869140625,7.001144886016846,49.333274841308594,163.7513885498047,1155.41796875,105.77284240722656,70.80203247070312,109.51872253417967,187.8999938964844,12.081382751464844,42.1516227722168,133.41432189941406,44.03134536743164,304.2542724609375,32.1461296081543,,22.293914794921875,66.01000213623047
