Date,monthly_rate_pct
2020-12-31,-0.0006616666666666667
2021-01-31,-0.0005366666666666667
2021-02-28,-0.00048083333333333333
2021-03-31,-0.0005533333333333333
2021-04-30,-0.0005341666666666666
2021-05-31,-0.0005458333333333334
2021-06-30,-0.0005541666666666667
2021-07-31,-0.0005583333333333333
2021-08-31,-0.0005616666666666667
2021-09-30,-0.0005616666666666667
2021-10-31,-0.0007158333333333334
2021-11-30,-0.0008241666666666666
2021-12-31,-0.0006391666666666667
2022-01-31,-0.000555
2022-02-28,-0.0006241666666666666
2022-03-31,-0.0005458333333333334
2022-04-30,-0.0005883333333333333
2022-05-31,-0.00042833333333333335
2022-06-30,-0.000415
2022-07-31,-4.9999999999999996e-05
2022-08-31,2.5833333333333332e-05
2022-09-30,0.0006575000000000001
2022-10-31,0.0008075
2022-11-30,0.0012641666666666667
2022-12-31,0.0015591666666666668
2023-01-31,0.0018083333333333335
2023-02-28,0.0022225
2023-03-31,0.002255833333333333
2023-04-30,0.0021741666666666667
2023-05-31,0.002435
2023-06-30,0.0028125000000000003
2023-07-31,0.0029549999999999997
2023-08-31,0.0030074999999999998
2023-09-30,0.003054166666666667
2023-10-31,0.0031299999999999995
2023-11-30,0.0030966666666666664
2023-12-31,0.0030074999999999998
2024-01-31,0.0031249999999999997
2024-02-29,0.0031725
2024-03-31,0.003143333333333333
2024-04-30,0.003058333333333333
2024-05-31,0.002990833333333333
2024-06-30,0.00282
2024-07-31,0.002814166666666666
2024-08-31,0.0026933333333333336
2024-09-30,0.0025933333333333333
2024-10-31,0.0022916666666666667
2024-11-30,0.0022166666666666667
2024-12-31,0.0020916666666666666
2025-01-31,0.0020833333333333333
2025-02-28,0.0018666666666666669
2025-03-31,0.0017416666666666665
2025-04-30,0.0014833333333333332
2025-05-31,0.0015333333333333334
2025-06-30,0.001475
2025-07-31,0.0015383333333333334
2025-08-31,0.0015441666666666668
2025-09-30,0.0014633333333333332
2025-10-31,0.0015266666666666666
2025-11-30,0.0015525
