Date,AMP.MI,CPR.MI,DIA.MI,ELN.MI,ENEL.MI,ENI.MI,ERG.MI,G.MI,HER.MI,IG.MI,IP.MI,ISP.MI,ITM.MI,LDO.MI,MB.MI,MONC.MI,MS.MI,NEXI.MI,PRY.MI,RACE.MI,REC.MI,SPM.MI,SRG.MI,STLAM.MI,TIT.MI,TRN.MI,UCG.MI,UNI.MI,YKY.MI
2020-12-31,32.50756072998047,9.02027702331543,161.7002716064453,6.0796589851379395,6.092830657958984,6.118173599243164,19.348840713500977,10.535849571228027,2.446539878845215,4.012507438659668,38.960906982421875,1.2727718353271484,22.807477951049805,5.617664813995361,5.31237268447876,46.24763107299805,,15.576163291931152,26.745277404785156,182.5586853027344,40.01533126831055,5.116775989532471,3.458983898162842,8.497335433959961,0.368751972913742,5.04049825668335,5.943358421325684,2.7784578800201416,
2021-01-31,31.256534576416016,8.572158813476562,171.68179321289062,6.20560359954834,6.0302534103393555,5.9778876304626465,20.820680618286133,10.41024684906006,2.367725372314453,3.821142673492432,35.77372360229492,1.2013006210327148,21.367416381835938,5.452271938323975,5.188370227813721,42.99166488647461,,13.965164184570312,24.50117301940918,166.688232421875,37.711334228515625,5.030916690826416,3.2537455558776855,7.262730121612549,0.3453019261360168,4.834039688110352,5.8726420402526855,2.575225353240967,
2021-02-28,31.514375686645508,9.05697536468506,154.38050842285156,6.331546783447266,5.891163349151611,6.786678791046143,19.613441467285156,11.48895263671875,2.425194501876831,3.7671282291412354,36.739532470703125,1.420106291770935,20.627925872802734,6.302050590515137,6.0718865394592285,47.31757736206055,,14.189179420471191,24.547163009643555,156.2853546142578,37.199337005615234,5.3789963722229,3.3019063472747803,8.977953910827637,0.3838967680931091,4.651775360107422,6.636543273925781,3.0584352016448975,
2021-03-31,30.311100006103516,9.225018501281738,130.044677734375,8.014616012573242,6.378589630126953,7.511009216308594,20.952978134155273,12.60459804534912,2.6829841136932373,4.2710065841674805,41.510650634765625,1.5375609397888184,22.34043312072754,6.562497138977051,6.6623077392578125,45.07621765136719,,14.184412956237791,25.48526954650879,172.59127807617188,40.49202346801758,5.392919540405273,3.633941650390625,10.62191104888916,0.450631707906723,5.192117214202881,7.004117488861084,3.3796277046203613,
2021-04-30,33.54848861694336,9.476119041442873,134.27493286132812,8.071863174438477,6.2088541984558105,7.107330799102783,20.55607795715332,12.327533721923828,2.7461998462677,4.183812141418457,42.7855224609375,1.5445483922958374,22.963159561157227,6.4579386711120605,6.624261379241943,47.0593147277832,,15.19486141204834,23.958545684814453,172.39773559570312,40.465538024902344,4.458905220031738,3.59704852104187,9.864842414855955,0.4458439946174621,4.943721294403076,6.653640270233154,3.2367963790893555,
2021-05-31,37.19651794433594,10.27927303314209,137.50701904296875,10.190011978149414,6.050384521484375,7.197515964508057,20.58915138244629,12.423583984375,2.8660638332366943,4.177638530731201,45.16142272949219,1.608100414276123,23.43020820617676,6.758306980133057,6.876492500305176,53.6081428527832,,15.766815185546877,25.963518142700195,168.18994140625,40.15657424926758,4.782619953155518,3.6946613788604736,11.85021686553955,0.428549587726593,5.038886070251465,8.276265144348145,3.2545619010925293,
2021-06-30,40.00695037841797,10.96876621246338,152.68292236328125,10.058204650878906,5.882151126861572,7.5263285636901855,21.314353942871097,13.247736930847168,2.86031723022461,4.453176975250244,48.508445739746094,1.573872685432434,24.23668098449707,6.4750471115112305,6.939903736114502,53.076202392578125,,17.644723892211914,28.29819107055664,169.21102905273438,43.0582389831543,4.736208915710449,3.746926069259643,12.065967559814451,0.4093010127544403,5.0679192543029785,7.842746734619141,3.4583163261413574,
2021-07-31,40.045379638671875,11.517447471618652,163.83497619628906,11.191198348999023,5.84309720993042,7.346047401428223,22.47385597229004,13.204635620117188,2.945699691772461,4.616373538970947,51.14076614379883,1.575223684310913,25.629594802856445,6.307753562927246,6.965267181396484,53.95056915283203,,17.234825134277344,28.288829803466797,178.78994750976562,46.613677978515625,4.492553234100342,4.042144775390625,11.800652503967283,0.3709000051021576,5.559009552001953,7.967284679412842,3.381498098373413,
2021-08-31,42.54340744018555,11.37177848815918,184.99041748046875,12.060596466064451,5.931290626525879,7.661171913146973,21.280250549316406,13.533771514892578,3.104112386703491,4.535583019256592,58.47434616088867,1.619815230369568,24.4356689453125,6.556793689727783,7.031496524810791,50.41587448120117,,16.820159912109375,29.833391189575195,178.64407348632812,49.63311004638672,4.657310485839844,3.962949275970459,12.34148406982422,0.3833000063896179,5.552377223968506,8.329863548278809,3.7821571826934814,
2021-09-30,39.584205627441406,11.828205108642578,173.5990447998047,13.096475601196287,5.11196231842041,8.461438179016113,21.911157608032227,14.411466598510742,2.9964895248413086,4.4757981300354,54.39473342895508,1.657650351524353,23.52032470703125,6.762109279632568,7.355592727661133,49.318260192871094,,15.404577255249023,28.38243865966797,175.96975708007812,44.91635513305664,4.940415859222412,3.798222780227661,12.042641639709473,0.3393999934196472,5.088020324707031,9.064481735229492,3.8062565326690674,
