Date,ABBN.SW,BAER.SW,CFR.SW,GEBN.SW,GIVN.SW,HOLN.SW,LONN.SW,NESN.SW,NOVN.SW,ROG.SW,SCMN.SW,SIKA.SW,SOON.SW,SREN.SW,UBSG.SW,ZURN.SW
2020-12-31,20.92664337158203,40.55253601074219,70.51502227783203,493.5589904785156,3398.384033203125,40.12703704833984,551.2401733398438,90.51681518554688,64.94918060302734,261.8227233886719,388.6886596679687,227.87794494628903,212.96824645996097,60.23750305175781,10.719244956970217,287.18878173828125
2021-01-31,22.30707359313965,42.9379768371582,72.98057556152344,485.8999328613281,3276.29736328125,39.82167434692383,552.4031982421875,86.85307312011719,62.52668762207031,260.2551574707031,395.4505920410156,228.44337463378903,199.44940185546875,56.85484313964844,11.067383766174316,273.88653564453125
2021-02-28,22.120759963989254,44.369239807128906,77.11920166015625,477.5285339355469,3122.322265625,41.39803314208984,556.0858764648438,82.4774398803711,60.709808349609375,252.4598388671875,371.9060363769531,226.3700408935547,215.5609130859375,61.755374908447266,12.120396614074709,285.6509094238281
2021-03-31,24.187170028686523,48.0587272644043,79.9017562866211,535.7723388671875,3318.207763671875,45.838253021240234,512.0874633789062,91.4544448852539,62.71303176879883,258.81475830078125,413.0478820800781,254.45423889160156,231.8576202392578,67.1907730102539,12.58028507232666,310.17919921875
2021-04-30,25.846168518066406,45.73690032958984,82.45537567138672,534.7037353515625,3546.538330078125,46.46549606323242,562.8698120117188,94.52781677246094,62.99979782104492,259.76409912109375,403.5159912109375,256.716064453125,250.09884643554688,61.350608825683594,11.969965934753418,288.1114501953125
2021-05-31,26.73531150817871,50.42877197265625,96.5531005859375,590.3865966796875,3721.824951171875,44.121585845947266,561.1253662109375,98.60245513916016,63.77556610107422,272.9443054199219,430.7870788574219,275.12066650390625,296.11846923828125,66.78907775878906,12.858217239379885,303.82965087890625
2021-06-30,27.362943649291992,49.43002700805664,98.578369140625,629.7698974609375,3990.782958984375,47.45825958251953,638.873779296875,102.62850952148438,68.13933563232422,304.2364501953125,449.6872253417969,287.67376708984375,322.2302551269531,64.53184509277344,12.483534812927246,300.2704162597656
2021-07-31,28.879714965820312,49.06981658935547,102.1446304321289,674.9609985351562,4193.892578125,45.406009674072266,686.998779296875,102.25440979003906,67.78377532958984,305.8076171875,463.9900512695313,303.4601745605469,332.7870178222656,63.40323257446289,13.171186447143556,295.9022521972656
2021-08-31,29.56836700439453,51.24742126464844,88.93627166748047,694.3803100585938,4261.5966796875,44.63642120361328,754.9972534179688,103.0916748046875,68.51914978027344,320.99542236328125,457.5197143554687,313.9210510253906,330.0753479003906,65.13481140136719,13.470932960510254,325.1850891113281
2021-09-30,27.362943649291992,51.01820373535156,85.78388214111328,625.232666015625,3952.758056640625,38.599388122558594,683.4917602539062,100.38389587402344,62.086639404296875,298.4755554199219,457.5197143554687,282.25311279296875,332.1324768066406,61.949951171875,13.224082946777344,310.3009948730469
2021-10-31,26.404062271118164,54.17818832397461,101.7023468017578,648.6448974609375,3996.347412109375,39.0867919921875,731.2269287109375,107.61651611328124,61.12499237060547,309.03717041015625,424.3167419433594,294.8061828613281,353.7322998046875,68.52064514160156,14.674325942993164,328.33984375
2021-11-30,27.79879379272461,46.859466552734375,122.92404174804688,638.6629028320312,4173.4892578125,38.009368896484375,723.8231201171875,105.10469818115234,59.34716796875,313.92523193359375,434.5330505371094,343.021240234375,323.9974670410156,66.81999206542969,14.0527925491333,306.6608581542969
2021-12-31,30.422637939453125,50.08494186401367,123.14884948730467,676.2313842773438,4444.3017578125,39.770877838134766,741.9430541992188,113.51307678222656,64.87459564208984,330.9024353027344,438.1087036132813,361.5655212402344,334.5635986328125,69.77293395996094,14.475963592529297,323.89080810546875
2022-01-31,27.64188766479492,49.135311126708984,119.55194854736328,567.33740234375,3540.973876953125,42.54141616821289,617.0519409179688,106.0666732788086,64.75337982177734,311.5248718261719,449.6872253417969,305.36212158203125,305.76385498046875,77.53407287597656,15.075454711914062,356.490234375
2022-02-28,27.153732299804688,44.04331588745117,112.49303436279295,545.7401733398438,3571.5791015625,39.41173553466797,620.94873046875,106.69017028808594,64.9230728149414,305.3711853027344,468.7575988769531,291.0022277832031,333.8155822753906,67.88675689697266,14.885910034179688,341.0398864746094
2022-03-31,26.299457550048828,44.10880279541016,106.1085433959961,519.2426147460938,3549.320556640625,38.72765350341797,654.8504638671875,107.06427001953124,65.65845489501953,319.8606872558594,472.5036315917969,292.3335876464844,362.4283447265625,68.1186752319336,15.996733665466309,369.5138244628906
2022-04-30,26.515777587890625,38.69753646850586,103.86048126220705,508.1717224121094,3676.33984375,41.17325210571289,563.4715576171875,112.23043060302734,73.01669311523438,324.7657775878906,491.0632019042969,286.24725341796875,332.1324768066406,62.0890998840332,14.736038208007812,360.6966247558594
2022-05-31,26.31869888305664,42.49964904785156,95.632568359375,487.9632263183594,3324.279541015625,40.6003303527832,562.3024291992188,106.61167907714844,73.31210327148438,292.5042724609375,502.46722412109375,254.82208251953125,316.9844970703125,65.32891845703125,16.378684997558594,372.3997497558594
2022-06-30,22.807151794433594,38.00374603271485,91.40621948242188,425.7845764160156,3168.54248046875,36.61662673950195,498.5852355957031,101.54534149169922,68.23950958251953,285.4695129394531,467.5392456054687,211.15199279785156,284.25750732421875,61.23965835571289,13.968852043151855,353.0145568847656
2022-07-31,25.772260665893555,42.28391647338867,102.4666748046875,462.9989318847656,3128.900390625,39.825626373291016,564.4102783203125,106.10139465332033,68.96537780761719,282.6466064453125,455.4828186035156,224.49295043945312,323.8156433105469,59.02119064331055,14.055079460144045,352.7594909667969
2022-08-31,24.159812927246097,40.94636535644531,98.77986145019533,420.30914306640625,2953.34228515625,39.02785873413086,512.6906127929688,104.4065399169922,66.78778076171875,282.6466064453125,448.7454833984375,211.5359039306641,245.66307067871097,63.060791015625,14.095924377441406,369.0838928222656
2022-09-30,23.111726760864254,37.53776168823242,84.7789306640625,396.7369384765625,2834.415771484375,36.733154296875,476.3497009277344,97.5724639892578,63.74929428100586,289.86065673828125,410.8919677734375,192.62820434570312,208.9133148193359,60.56087493896485,13.138346672058104,335.8399353027344
2022-10-31,25.997182846069336,41.39509582519531,90.97447967529295,413.2560119628906,2822.145263671875,40.76681137084961,504.8543090820313,99.35842895507812,68.2817153930664,298.015625,438.1961059570313,216.71873474121097,224.771728515625,61.58732986450195,14.42268180847168,363.30230712890625
2022-11-30,27.41657066345215,46.46053314208984,115.2275390625,414.6480712890625,2988.264892578125,43.7068977355957,480.1698913574219,102.36542510986328,70.602783203125,275.8358154296875,450.5184631347656,227.46829223632812,229.8046417236328,69.71619415283203,15.634405136108398,385.0681457519531
2022-12-31,26.202621459960938,46.477787017822266,111.37268829345705,404.1612548828125,2673.959228515625,42.918094635009766,443.8290100097656,97.62713623046876,70.5521469116211,260.3323974609375,449.10003662109375,212.78363037109375,208.24856567382812,71.58699798583984,15.616250038146973,376.05572509765625
2023-01-31,29.64836883544922,50.39552688598633,130.41470336914062,480.3533020019531,2790.05419921875,48.81619644165039,508.9682922363281,101.58179473876952,69.59839630126953,255.6276092529297,478.7091064453125,248.3915252685547,216.41517639160156,79.1032943725586,17.644866943359375,384.4729919433594
2023-02-28,29.2094783782959,53.8127555847168,131.668701171875,472.37213134765625,2681.51025390625,52.11483001708984,549.3253173828125,96.66124725341795,66.91439056396484,243.5743408203125,514.5236206054688,253.2864227294922,219.54888916015625,81.28865051269531,18.561599731445312,379.5416564941406
