Date,IEUR
2020-12-01,44.00516128540039
2021-01-01,44.01702117919922
2021-02-01,45.264991760253906
2021-03-01,46.77295684814453
2021-04-01,49.0262451171875
2021-05-01,51.1408576965332
2021-06-01,49.641563415527344
2021-07-01,51.250816345214844
2021-08-01,52.156734466552734
2021-09-01,49.30702590942383
2021-10-01,51.787330627441406
2021-11-01,49.35979461669922
2021-12-01,51.154056549072266
2022-01-01,50.067867279052734
2022-02-01,47.44585418701172
2022-03-01,47.624229431152344
2022-04-01,44.565223693847656
2022-05-01,45.537322998046875
2022-06-01,40.09709930419922
2022-07-01,43.11642074584961
2022-08-01,39.8790397644043
2022-09-01,36.05802536010742
2022-10-01,39.11301040649414
2022-11-01,44.28370666503906
2022-12-01,43.31705093383789
2023-01-01,47.73635482788086
2023-02-01,47.03839874267578
2023-03-01,48.10369873046875
2023-04-01,50.1057243347168
2023-05-01,47.39656448364258
2023-06-01,48.33328628540039
2023-07-01,50.769309997558594
2023-08-01,48.79677963256836
2023-09-01,46.645774841308594
2023-10-01,45.13349533081055
2023-11-01,49.51064682006836
2023-12-01,51.68043518066406
2024-01-01,51.70671844482422
2024-02-01,52.88359832763672
2024-03-01,54.90516662597656
2024-04-01,53.557456970214844
2024-05-01,56.94572067260742
2024-06-01,54.05098342895508
2024-07-01,56.538394927978516
2024-08-01,58.620567321777344
2024-09-01,59.00795364379883
2024-10-01,55.49245834350586
2024-11-01,54.533687591552734
2024-12-01,52.277191162109375
2025-01-01,56.345863342285156
2025-02-01,58.78843307495117
2025-03-01,59.00424575805664
2025-04-01,61.36833572387695
2025-05-01,64.44852447509766
2025-06-01,64.93899536132812
2025-07-01,64.37999725341797
2025-08-01,66.73999786376953
2025-09-01,68.12000274658203
2025-10-01,68.51000213623047
2025-11-01,69.5199966430664
