test,gamma_1,tstat_gamma_1,n_stocks
Full Sample,-0.5746707941065095,-0.8799669932578681,245.0
Period A (2021-2022),-0.7726816558760072,-0.6604707145411296,245.0
Period B (2023-2025),-0.43889191746456807,-0.571285479762353,245.0
Clean Sample,-0.627026393525454,-0.9197159508024915,225.0
