gamma_0,gamma_1,gamma_0_se,gamma_1_se,gamma_0_tstat,gamma_1_tstat,gamma_0_pvalue,gamma_1_pvalue,r_squared,n_stocks,date
-1.5501133348780751,1.876916727651802,1.5203323328025822,1.5325161212979874,-1.019588481697679,1.2247288635777085,0.3089376855769534,0.22186331089924632,0.006134809937957786,245,2021-01-31
0.4687196931884387,4.041193984051458,1.621142121240823,1.6341337891150312,0.28912930399321213,2.4729884486630533,0.7727289433000288,0.014083933052276154,0.024549526817728817,245,2021-02-28
5.187151853199477,1.1654594613218192,1.183249222889903,1.1927316616685797,4.383820206981132,0.9771346722626547,1.7368995248157013e-05,0.3294742422523689,0.003913807797148783,245,2021-03-31
0.3339633584879861,1.7737932723910563,1.0417188940364455,1.0500671231721181,0.32058875038154205,1.6892189396737365,0.7487975811875278,0.09246009968133291,0.011606347207336443,245,2021-04-30
0.4280552239437216,2.431865747652663,1.0527748096896374,1.0612116398075002,0.40659713739723136,2.29159354876073,0.6846617720909149,0.02278526767344874,0.021153560349396416,245,2021-05-31
1.7100117833150668,-0.9776523671857801,0.9531862196231198,0.9608249569215729,1.7939954943863836,-1.0175135024782467,0.07405701774802442,0.30992120486212427,0.0042425566491151034,245,2021-06-30
-0.46251423698355304,2.5518911069524775,1.0766120189192194,1.0852398780044386,-0.42960159171161594,2.35145349767735,0.6678661574058573,0.019499606300164698,0.022248213008578266,245,2021-07-31
1.957590861791726,0.0026487004339312203,1.0298578773401375,1.0381110534958462,1.9008359355833528,0.0025514615464421685,0.0585067839497976,0.9979663237727125,2.6789941931504302e-08,245,2021-08-31
0.609411901985581,-3.7560715814409966,1.0980778214728795,1.1068777053138412,0.5549806125472614,-3.393393473740633,0.5794184101496085,0.0008059101574073006,0.04524336039745147,245,2021-09-30
0.03959641221378163,4.133266304710911,1.1463181591747098,1.1555046361695662,0.03454225329753915,3.5770226923644888,0.9724731060589388,0.00041931748226999276,0.050020863475440214,245,2021-10-31
-0.3231845028713556,-2.19933289960179,1.4547687792574846,1.466427148111299,-0.22215523695546263,-1.4997900866977574,0.8243796351302248,0.13496686691983573,0.009171767908587536,245,2021-11-30
4.617506092339828,0.6798974141847696,0.9450664029425165,0.9526400688569547,4.885906511926534,0.7136981074085608,1.8695845054719258e-06,0.47609878279928197,0.002091767552934054,245,2021-12-31
3.1403157549003557,-6.880237537126631,1.6218758004143194,1.6348733479187114,1.9362245580692061,-4.208422350199526,0.053999876632678,3.62131769484991e-05,0.06793281064241719,245,2022-01-31
1.5302880346218997,-5.486532066758381,1.2079820951314542,1.2176627406296576,1.2668135072443865,-4.505789561994215,0.20643482688199502,1.0279899560860511e-05,0.07710586632373584,245,2022-02-28
4.849256262629797,-5.791233033084625,1.426173795090585,1.4376030066531926,3.4001860638042296,-4.0283951871851515,0.0007870457135568101,7.513373358239774e-05,0.06260114571298814,245,2022-03-31
7.525987930480584,-9.841928038810522,1.0999463681232635,1.108761226306802,6.842140806666309,-8.876508129341088,6.299328809104339e-11,1.5475153161816417e-16,0.24485474924220385,245,2022-04-30
-1.6224120247707225,1.3252193844596003,1.2911345059775614,1.301481526428644,-1.2565786269822754,1.01823910485775,0.21011285383038594,0.30957704031665517,0.0042485839367653044,245,2022-05-31
1.09367422714705,-10.949174517287238,1.0177776956400622,1.0259340624497852,1.0745708339179687,-10.672395934629717,0.28363274846730796,4.674653722796228e-22,0.3191370799112643,245,2022-06-30
-5.657868373307009,13.701178875685194,1.5105145155762243,1.5226196250841533,-3.7456564071141485,8.998425246835989,0.00022474891680449285,6.747913696793204e-17,0.24993438528533485,245,2022-07-31
1.8020508361363263,-8.377491796644938,0.9383543524540702,0.9458742286794007,1.9204374460708133,-8.85687710124138,0.05597308318899721,1.7678855673737813e-16,0.24403692590854398,245,2022-08-31
-2.7038074745582428,-6.2278680500001045,1.2002644884710763,1.209883285855409,-2.252676389686754,-5.147494905342784,0.025172413488249203,5.449024022658502e-07,0.09831921291379409,245,2022-09-30
4.808923172023613,2.640695915759108,1.3363622195470801,1.347071690289045,3.598517753407795,1.9603232216931874,0.0003877608155962795,0.051100668232114156,0.015568070400961198,245,2022-10-31
0.2220006030022696,7.39660071305487,1.1741739605385904,1.1835836710889431,0.18906960166314582,6.249326425946472,0.850196084119001,1.8339658342924165e-09,0.1384630942771825,245,2022-11-30
-0.9761431803581676,-2.423574039504916,0.8661888382879139,0.8731303874315323,-1.1269403820621684,-2.7757298043815526,0.2608792863305045,0.0059364138569561724,0.0307320791597957,245,2022-12-31
