country,ticker,beta,alpha,beta_tstat,alpha_tstat,r_squared,beta_se,alpha_se,pvalue_beta,pvalue_alpha,n_observations,is_valid
France,AC.PA,0.9732139409470936,0.3258331031092022,3.683790266603271,0.3575692445485574,0.2173724209681564,0.2641882057646211,0.9112447674871396,0.0002297913367043,0.7206656978295352,59,True
France,AI.PA,0.8147418974800845,0.1736299231850028,7.129816137592478,0.3560929958144985,0.4239624411802218,0.1142724976012071,0.4875971311591111,1.0050308799533594e-12,0.7217709224325238,59,True
France,AIR.PA,1.06994414069352,0.7765310673750179,4.9429941227161205,0.9411699863616432,0.3199908443698102,0.2164566888268112,0.825069943397703,7.693180399308323e-07,0.3466177548706927,59,True
France,BN.PA,0.2610244605925649,0.7382892780645915,2.272429655683173,1.2157275700873909,0.056592536219978,0.1148658045100593,0.6072818419438498,0.0230605722361996,0.2240887180333295,59,True
France,BNP.PA,1.0497639090745303,0.8256121138585957,5.507663768787281,0.913809831159432,0.2656399047556198,0.1906005800542314,0.903483510142442,3.636270779780942e-08,0.3608167796898468,59,True
France,CA.PA,0.6983294749285467,-0.2120897891676405,3.6780803703993583,-0.31328874338156,0.2318534262796915,0.1898624838512496,0.6769786455727601,0.0002349959188006,0.7540613014763649,59,True
France,CS.PA,0.7360598794763644,1.152855683827906,4.9558739372278975,1.6456646105186428,0.2525521582780534,0.1485227204726044,0.7005410923095535,7.200589301047709e-07,0.0998328289229191,59,True
France,DSY.PA,0.776957759363302,-0.9642518932912186,3.7415660420064873,-1.0752951513755278,0.1713769916869894,0.2076557651636808,0.8967322990880582,0.0001828771046504,0.282242606314784,59,True
France,EL.PA,0.8922579820662849,1.0286680446393903,6.210992149501884,1.6165161006875135,0.3313494568810438,0.143657882764808,0.6363487775976323,5.265110432041368e-10,0.105982775177678,59,True
France,EN.PA,0.6266740987021405,0.4534277312895368,3.859144212499569,0.5909848147349216,0.1770748937230175,0.1623868050000244,0.7672409171679238,0.0001137847807801,0.5545305955949098,59,True
