gamma_0,gamma_1,gamma_0_se,gamma_1_se,gamma_0_tstat,gamma_1_tstat,gamma_0_pvalue,gamma_1_pvalue,r_squared,n_stocks,date
-0.07463603526819969,10.280341978119296,1.2049163781575916,1.214572455312157,-0.06194291705315172,8.46416525679989,0.9506592081041926,2.4581793677087604e-15,0.22769392581507586,245,2023-01-31
2.33543055194987,-0.49541188699806277,1.2560831560813948,1.266149278583786,1.859296130708191,-0.3912744692728421,0.06419386660378006,0.6959372324461084,0.000629626819504181,245,2023-02-28
-1.1888382931602361,-1.0140408579068019,1.4170754034926603,1.4284317014715169,-0.838937921179149,-0.709898034930319,0.40232867032900466,0.47844802721976765,0.002069597676730317,245,2023-03-31
4.975967512299613,-3.2750508555926463,1.063035064354972,1.0715541191088922,4.680906283480808,-3.0563559947081242,4.749168524228804e-06,0.002490642062387223,0.03701855987668179,245,2023-04-30
-2.6959398525333604,-1.130946347034819,1.1542973319084715,1.1635477531810747,-2.3355679494433166,-0.9719810329596484,0.02032823022268537,0.3320264955285026,0.0038727914396773366,245,2023-05-31
2.5033428876387838,0.46478136777973017,1.445241638815589,1.4568236581360774,1.7321275698161689,0.3190374930994678,0.08451978436420046,0.7499721553173835,0.0004186926148482817,245,2023-06-30
-1.6434535806856854,5.473181410176857,1.4134542571749207,1.4247815356559381,-1.162721448071808,3.841417981078148,0.24608311846431793,0.00015615595757830693,0.057249739802166744,245,2023-07-31
2.862699144664536,-5.771332033162568,0.9571037464247557,0.9647738783840645,2.9910019215347328,-5.9820566896247085,0.003066713654567471,7.836080223116813e-09,0.12836057158967573,245,2023-08-31
1.661531335579209,-4.484404182935907,1.1629463458502345,1.1722660794398139,1.4287257030456182,-3.825414947670286,0.15436721625699593,0.00016603626048648497,0.0568007751662164,245,2023-09-30
2.613394278521826,-8.094625601183642,1.2448039504410924,1.2547796825380753,2.0994424685074127,-6.451033367714748,0.03680967110724787,5.957676076284869e-10,0.14621755680413262,245,2023-10-31
-1.8584848594771954,10.73980095780015,1.5851470196193007,1.5978502264145953,-1.172436901104316,6.721406537519547,0.2421697984902731,1.2720223907847767e-10,0.15676913111015167,245,2023-11-30
-2.7885771033937536,8.247914507872608,1.0290183646118767,1.037264812998071,-2.7099391024430783,7.951599634458964,0.007208957726885876,6.940804570022378e-14,0.2064734439922178,245,2023-12-31
3.2906372995151747,-4.9995602515443,1.3473045229745764,1.3581016842219238,2.442385699299897,-3.681285657493769,0.015304108755594632,0.0002859156057148397,0.052823097349259385,245,2024-01-31
-0.2787893649077142,0.6474774549140493,1.4797991968595963,1.4916581569311567,-0.18839675376183207,0.43406557454566436,0.8507228820489041,0.6646259652774891,0.0007747611028880996,245,2024-02-29
2.2789034402808146,1.449348535769765,1.8858699504169172,1.9009831201561707,1.2084096465808831,0.7624205183109134,0.22806434863030725,0.44654848456703033,0.002386410953656992,245,2024-03-31
3.510897720382096,-5.17477698021431,1.2462508704001474,1.2562381979663382,2.817167717808545,-4.119264155947097,0.005243231351773087,5.214228960406334e-05,0.06527078401205233,245,2024-04-30
2.316500252459935,2.192821943587918,1.3534446612468067,1.3642910289370003,1.7115588976692642,1.6072977811020828,0.08825392585078629,0.10928760702465784,0.01051946545395932,245,2024-05-31
1.3854028131379612,-5.176020161147259,1.0780351758524578,1.0866744399724158,1.2851183747714465,-4.763174664602075,0.1999744523627313,3.27879861165969e-06,0.08539281847838331,245,2024-06-30
3.1428042378938827,0.2528088806559847,1.26821906005176,1.278382438452737,2.4781241166377166,0.19775684728739437,0.013887855766591023,0.8434006368324953,0.0001609114311181825,245,2024-07-31
3.00357272168121,-1.9516541605036108,0.9737910527927182,0.9815949151259449,3.08441191061195,-1.9882480343260551,0.0022753770700807883,0.047906281780054794,0.016007613436863743,245,2024-08-31
-1.0515334937491092,2.6910483098776936,1.2007238675503078,1.2103463463518014,-0.8757496391692673,2.223370457546297,0.38203098459261764,0.027111069122463,0.019937520684850774,245,2024-09-30
1.320224185218077,-5.16627213241387,1.231679431528335,1.2415499850672573,1.0718894473863794,-4.161147110105279,0.28483308103315413,4.396870148456836e-05,0.06651608861962044,245,2024-10-31
1.4839041206266714,-0.26256774818129447,1.3350315461390663,1.3457303529998454,1.1115124020238676,-0.19511170837158387,0.2674463663438055,0.8454685336813965,0.00015663627910744715,245,2024-11-30
0.2136581860798509,-0.4337056001634629,0.9417223959171752,0.949269263299842,0.2268802218213808,-0.45688364401036125,0.8207076291035993,0.648162829141598,0.0008582860216190813,245,2024-12-31
1.694491299744415,3.6192238115434656,1.3879214601310836,1.3990441213766676,1.2208841410841627,2.5869261421020293,0.22331318580615342,0.010265953263013867,0.026801747178086366,245,2025-01-31
6.3946853534582075,-3.753186283811133,1.6442862462477075,1.65746338878289,3.889034143568981,-2.2644157989922036,0.00012994687424185562,0.024430369707945244,0.020665090649074846,245,2025-02-28
3.8321716803531563,-8.188482530180341,1.401985275628439,1.4132206428592613,2.7333893921499195,-5.794199632983856,0.00672955288695816,2.117965617599496e-08,0.12138849348425373,245,2025-03-31
3.5890377933337048,-3.4153594580436897,1.2685397946294237,1.2787057433646447,2.82926701119547,-2.6709502759070207,0.005055188059186654,0.008074644432727587,0.028520617263742776,245,2025-04-30
1.2883146147707936,4.369122932177505,1.2235403711814539,1.2333456991195793,1.0529400133538656,3.5424965889907365,0.29341436034466256,0.00047510191959682324,0.049107091910884804,245,2025-05-31
