Period,γ₀ Mean,t(γ₀),γ₁ Mean,t(γ₁),N Months,Avg R²
Period A (2021-2022),1.101,1.869,-0.7727,-0.66,24,0.073
Period B (2023-2025),1.4646,4.028,-0.4389,-0.571,35,0.046
