country,n_stocks,equal_weighted_beta,market_cap_weighted_beta,market_cap_total_millions,n_stocks_with_mcap,mcap_data_source
Germany,39,0.935483643741471,0.9285295897515108,1742449.4344319997,39,yfinance
France,37,0.8792015033769024,0.9338983304604832,2180894.5154879997,37,yfinance
Italy,27,0.8258757268169935,0.8820403293300789,673254.7268479998,27,yfinance
Spain,35,0.7722081765478139,0.8068945503539756,959482.32576,35,yfinance
Sweden,27,1.1401359372026287,1.1560688579164444,7518263.868416001,27,yfinance
UnitedKingdom,64,0.9712266214658348,0.7853962348209647,1601969.99936,64,yfinance
Switzerland,16,0.8320552097122282,0.6733308632114029,1299812.743168,16,yfinance
Overall,245,0.9167155345623474,0.9919623402163846,15976169.83504,245,yfinance
