portfolio,n_stocks,avg_book_to_market,median_book_to_market,avg_alpha,median_alpha,avg_beta,avg_r_squared,std_alpha
P1,49,0.0015783574710016793,0.0026412763936476988,-0.25840711975678116,-0.0512848232100271,0.9091302347184116,0.23900666678322646,1.3728415833470442
P2,49,0.09282378386919929,0.10829385841704268,-0.03478464997128468,-0.1619797181534057,1.013173819476871,0.2665773307521602,1.2791266880231738
P3,49,0.30798118090437604,0.3135466382752276,0.20688045534131155,0.3305298035618065,0.8921369466931215,0.25420678162693194,0.8943162350972698
P4,49,0.5570036249751957,0.5401238277084928,0.3894053030414138,0.1842695133054652,0.8145217600670985,0.2034857078766394,1.5011789924432397
P5,49,1.6955307173237957,1.1464707794463882,-0.7966479980839682,-0.5624443590583711,0.9546149118562346,0.21416223186785913,2.560348493796331
