country,ticker,avg_return,beta
France,AC.PA,1.2579249120824387,0.963454620897724
France,AI.PA,0.9541577733119686,0.8138232411557617
France,AIR.PA,1.8011364307444344,1.068647317689796
France,ATO.PA,-5.533371470658146,1.0385872630267234
France,BN.PA,0.9892372415388445,0.2562957910479865
France,BNP.PA,1.8309169386112718,1.050138130612834
France,CA.PA,0.4571002676502541,0.7059416374514415
France,CO.PA,-10.439291579782909,1.1928982749242
France,CS.PA,1.8581314082312583,0.7365749975509224
France,DSY.PA,-0.2198611019746673,0.7824328561970603
France,EL.PA,1.8833329122308449,0.8908481796998561
France,EMEIS.PA,-6.907693189086574,0.7328296886934614
France,EN.PA,1.0540860000652463,0.622267132540118
France,ENGI.PA,1.8198054074174097,0.510699221614808
France,ENX.PA,1.2018114056022726,0.7075825392699666
France,ERF.PA,0.20448597069279204,0.865813031895877
France,GET.PA,0.4790740328019079,0.6173153000605629
France,LR.PA,1.3736549579079647,1.0742782221646718
France,MC.PA,0.7972440101736956,1.2389773485286055
France,ML.PA,0.6136734906663585,1.057161169733716
France,OR.PA,0.6339931617350805,0.8753360253345394
France,ORA.PA,1.404926329056797,0.4702151141075352
France,PUB.PA,1.7764431065451378,0.7313055912980382
France,RI.PA,-0.7624502932179257,0.3266746418196281
France,RMS.PA,1.8924688444485214,1.1765633560892264
France,SAF.PA,1.8542953891661342,0.9681009543369
France,SAN.PA,0.6545706040310244,0.4321369270459479
France,SK.PA,-1.1331526967801573,0.9620106875678204
France,SOI.PA,-2.0491789931418296,1.0663491764778743
France,STLAP.PA,2.833452049230941,1.6681004517988387
France,STM,-0.11497306705878674,1.551109777789487
France,SU.PA,1.5419469516130022,1.1236662502014738
France,SW.PA,0.45951995045905963,0.6213918936624011
France,TEP.PA,-1.7778312185094944,0.7994671748699658
France,TTE.PA,1.521299258510683,0.549308454289338
France,VIE.PA,1.2532506496662223,0.8815701781240401
France,WLN.PA,-5.227719034448121,1.4005830053762427
Germany,1COV.DE,0.7518336084775686,0.8507682071090574
Germany,ADS.DE,-0.5548973819598357,1.0200200217024356
Germany,AFX.DE,-0.7989662911763006,1.6960750062823815
Germany,ALV.DE,1.6212287244855337,0.6359849225703036
Germany,BAYN.DE,-0.16914658089221102,1.0359113680461114
Germany,BEI.DE,0.14606923280581874,0.3444715685700303
Germany,BMW.DE,1.1011573123102276,0.8585356975845615
Germany,BNR.DE,-0.028820333333861078,0.8656497059938835
Germany,CBK.DE,3.8042322858512883,0.7234814651303246
Germany,CON.DE,-0.25153188247289987,1.2165336898129435
Germany,DB1.DE,1.162429442524919,0.3191507119469987
Germany,DBK.DE,2.6491672297960096,1.0371413100620257
Germany,DHL.DE,0.5914841934045224,1.2191612130431158
Germany,DTE.DE,1.489931592170307,0.5779287200943778
Germany,ENR.DE,3.3708212955632315,1.6003641608242667
Germany,EOAN.DE,1.4563701648874403,0.7289625530777271
Germany,EVK.DE,-0.5263656853076453,0.924757450053722
Germany,FRE.DE,0.8414776932144807,0.8217371248374041
Germany,HEI.DE,2.770906656449306,1.0110970479036605
Germany,HEN3.DE,-0.09630656281532259,0.6177594979789449
Germany,HFG.DE,-2.441076463672403,0.4178904726831067
Germany,IFX.DE,0.830555076740191,1.7198092751496743
Germany,LEG.DE,-0.41778662897332014,1.2719677455202187
Germany,MRK.DE,0.03199481299171534,0.9721360203677392
Germany,MTX.DE,1.2134794603110293,0.7511717711015824
Germany,MUV2.DE,1.8706187744927758,0.5107162397807391
Germany,PAH3.DE,0.0034902624547674074,1.201326799727414
Germany,PUM.DE,-1.7911119586561155,0.5868005996009078
Germany,QIA.DE,0.09201540046129175,0.3452161076315521
Germany,RWE.DE,0.8689152497479465,0.6232844038632277
Germany,SAP.DE,1.5032246034381482,0.7938624727256548
Germany,SHL.DE,0.40509545843024447,0.8239047068747233
Germany,SIE.DE,1.6139469120987686,1.2231729015969044
Germany,SRT3.DE,0.25898734410749435,1.5856471076697176
Germany,SY1.DE,-0.3908358447286595,0.581550146746755
Germany,UTDI.DE,0.03305328454475769,0.5633465529782739
Germany,VNA.DE,-0.2082196450698882,1.2575231542120162
Germany,VOW3.DE,0.4082614535882425,1.389657321179343
Germany,ZAL.DE,-1.3856237829755773,1.7593868638835428
Italy,AMP.MI,-1.0386917410481453,0.7345167603224447
Italy,CPR.MI,-0.49491354563694273,0.5015102250023025
Italy,DIA.MI,-1.2871739836018998,0.3944860478210011
Italy,ELN.MI,1.9387613977164688,1.4592064395705937
Italy,ENEL.MI,0.8099081271436885,0.7485034748051274
Italy,ENI.MI,1.8475237921549992,0.6934592359586126
Italy,ERG.MI,0.44329831993986984,0.5304408163802644
Italy,G.MI,2.1532554109104782,0.6299133575401595
Italy,HER.MI,1.0799834361078364,1.0685213738493264
Italy,IG.MI,1.6709666173993565,0.5624443287782183
Italy,IP.MI,0.6048896019749228,1.466796426384645
Italy,ISP.MI,2.727725440520169,0.8801302500079771
Italy,ITM.MI,0.5579244680939396,0.4686283286834369
Italy,LDO.MI,4.104049264489519,0.6086376041281277
Italy,MB.MI,2.1428570928836623,0.8473643642700126
Italy,MONC.MI,0.7376780658355712,1.2934926919219536
Italy,NEXI.MI,-1.9291680752073408,0.9998384357967948
Italy,PRY.MI,2.308565487899406,0.9329881994623304
Italy,RACE.MI,1.3394409516345722,0.7551595358065858
Italy,REC.MI,0.5456241277165095,0.6984924963252654
Italy,SPM.MI,0.21930326365806002,0.4879138449084939
Italy,SRG.MI,0.971639258263065,0.7946516513153888
Italy,STLAM.MI,0.766700879106176,1.5782338418821504
