country,n_stocks,mean_beta,median_beta,std_beta,pct_beta_gt_1,pct_beta_lt_1,pct_beta_lt_0,mean_alpha,median_alpha,mean_r_squared,median_r_squared
France,38,-0.8272493697889728,0.5992861485436985,8.886459666608827,2.631578947368421,97.36842105263158,2.631578947368421,8.731473182244072,0.553940084395394,0.20445222985914416,0.20313331267560109
Germany,40,0.638844976338292,0.6013915399359172,0.2986614758943061,10.0,90.0,0.0,0.16261829789249133,-0.07345422899139972,0.2234378914436837,0.23680346766028376
Italy,27,0.5610382565562324,0.5321511924811861,0.24238496878532376,7.4074074074074066,92.5925925925926,0.0,0.3825171322275854,0.24733393495101663,0.20991926559163937,0.20792008329255052
Spain,35,0.6028310964296354,0.5544772633959039,0.266091413041696,11.428571428571429,88.57142857142857,0.0,0.6654810120881284,0.5239884913478455,0.212555744171483,0.18711601369121256
Sweden,27,0.5621830675608579,0.604245665781053,0.22880184800718698,3.7037037037037033,96.29629629629629,0.0,0.47375994712523145,0.5475692895158769,0.24554095323118594,0.17394780081176098
Switzerland,16,0.663296698336696,0.6408706910962167,0.26777720755070106,25.0,75.0,0.0,0.41510663915144574,0.48241881378716145,0.24341174806845547,0.21857903227038017
UnitedKingdom,66,1.648276793591199,0.6715021756730005,7.600422938228174,25.757575757575758,74.24242424242425,1.5151515151515151,9.266945311271092,-0.12315182590170728,0.17988747157466056,0.15260079373050445
