country,ticker,beta,alpha,beta_tstat,alpha_tstat,r_squared,beta_se,alpha_se,pvalue_beta,pvalue_alpha,n_observations,is_valid
France,AC.PA,0.7308707150831507,0.5946106656371786,4.05458479508111,0.6060722585678942,0.2238525932641155,0.1802578443962546,0.981088735264342,0.0001541310258161,0.5468728671957032,59,True
France,AI.PA,0.570302164410284,0.4362842174056761,5.9019315873420695,0.8295537634166585,0.3793067161600202,0.0966297484087102,0.5259263915683599,2.0809824455680028e-07,0.410251856173517,59,True
France,AIR.PA,0.8222517787480293,1.0550505272971586,5.480270292834005,1.291981515337947,0.3450787333254101,0.1500385445993795,0.8166142586190068,1.0034695623689906e-06,0.2015774103817362,59,True
France,BNP.PA,0.8487341663344321,1.0608436682634,5.144233364712451,1.1813708462012062,0.3170637707873323,0.1649874930162454,0.8979768475535255,3.441153322061181e-06,0.2423610901435185,59,True
France,CA.PA,0.5623044250058292,-0.0535290505964205,4.643876727749092,-0.0812240436201153,0.274491552483399,0.1210851316629114,0.6590296199334249,2.057992308143503e-05,0.9355483129094924,59,True
France,CO.PA,0.9169931228552471,-11.271192834068197,1.7959038451748135,-4.0557648382203055,0.0535534433942906,0.5106025722473949,2.779054822866422,0.077810490939308,0.0001535291664315,59,True
France,CS.PA,0.6053995201427034,1.3084671708221185,5.083728986142401,2.0187801818002757,0.31196232303661,0.1190857187298822,0.6481474221999121,4.2856313995917925e-06,0.0482231901846332,59,True
France,DSY.PA,0.4291348019392083,-0.6098672853891464,2.4526954421116764,-0.6404291765597239,0.0954637258066545,0.1749645694166332,0.9522790461628392,0.0172628829835571,0.5244599148046634,59,True
France,EL.PA,0.5491994661145981,1.384573877813963,4.117205513043623,1.9071043510793992,0.2292233215008403,0.1333913170898785,0.726008452044226,0.0001251440280193,0.0615510252897518,59,True
France,EN.PA,0.5554041207600036,0.5497068784494581,4.405063332864952,0.8010509033081302,0.2539714531920984,0.1260831181736453,0.6862321435246035,4.717864578806275e-05,0.4264287477490706,59,True
France,ENGI.PA,0.4773289322685739,1.3861456718866845,3.252002154828382,1.7351132370640647,0.1564992518837905,0.1467800172148914,0.7988790830920879,0.0019272442246108,0.0881251016275994,59,True
France,ENX.PA,0.6460781192851827,0.6153010764482211,5.288269597899721,0.9253416564495596,0.329141806160221,0.1221719330538249,0.6649447500386699,2.0345166848127884e-06,0.3586894289455296,59,True
France,ERF.PA,0.5931727769446937,-0.334103458067273,3.0267452188022896,-0.3132286715069111,0.1384676891033345,0.1959771087635244,1.066643920110938,0.0037067345949654,0.75525023742179,59,True
France,GET.PA,0.4120396510551559,0.1045523919022944,3.566151874122567,0.1662572838049734,0.1824140320870866,0.1155418124631991,0.628859016035283,0.0007419155311694,0.8685428265440759,59,True
France,LR.PA,0.6758596284055284,0.7601689648794832,5.019494543953357,1.0372883498389882,0.3065299070309771,0.1346469495060395,0.7328424781763716,5.405233141953067e-06,0.3039819908566962,59,True
France,MC.PA,0.8499328857258484,0.0260849569915185,5.672547102700969,0.0319867036334755,0.360827403372386,0.149832671344616,0.8154937529798925,4.913118089144154e-07,0.97459439779919,59,True
France,ML.PA,0.7149301462826471,-0.0352020171578336,6.02010313877797,-0.0544620213289284,0.3886851529134258,0.1187571258833568,0.6463589910706359,1.333325542955881e-07,0.9567575092510456,59,True
France,OR.PA,0.7294688385496249,-0.0280512850499592,6.233667825197504,-0.04404286449637,0.4053742559845414,0.1170208068516247,0.6369087335877341,5.9415417373597795e-08,0.9650241669298216,59,True
France,ORA.PA,0.2939674077861095,1.137352832875269,2.210867738524627,1.571609615802292,0.078980435618816,0.1329647190845898,0.7236866085822853,0.0310726393972052,0.1215760989405784,59,True
France,PUB.PA,0.4718948788232884,1.347705458697188,3.3305393912249395,1.747632778713816,0.1629033129351892,0.1416872234169043,0.7711605522122573,0.0015248884443678,0.0859129296019662,59,True
France,RI.PA,0.2967405912834054,-1.0325356992419958,2.0585181405494946,-1.3160388223642063,0.0691977488804153,0.1441525267317753,0.7845784498872841,0.0441216835900504,0.1934292242835036,59,True
France,RMS.PA,0.9126079119808824,1.0645396512863703,5.371515406862849,1.1512252925947823,0.336075827557033,0.169897662550665,0.9247014099967972,1.4987696344233455e-06,0.2544458639847968,59,True
France,SAF.PA,0.7340438286776555,1.188106981931545,5.514676114068251,1.6399833957799397,0.3479130267363071,0.1331073327779066,0.7244628116289604,8.834825583191412e-07,0.1065165342209764,59,True
France,SAN.PA,0.2770685834399021,0.4023038206018365,1.982366662948462,0.5288551554982592,0.0644968313038543,0.139766567214062,0.7607070034569432,0.0522661270484131,0.5989593807894029,59,True
France,SK.PA,0.8395887565871688,-1.8949421861302551,4.585769805406328,-1.901636412908334,0.2695050298977406,0.1830856742083624,0.9964797546299398,2.5222765682155012e-05,0.0622771185547059,59,True
France,SOI.PA,0.8745870741505125,-2.842669456641499,2.8653582660617647,-1.7111501666055875,0.1259046617434117,0.3052278259613837,1.6612624140875425,0.0058238275296523,0.0924907890516497,59,True
France,STLAP.PA,0.8660527099240171,2.0476918904591326,2.273000998929465,0.987428813691511,0.0831079561113981,0.3810173028220882,2.073761533050488,0.0268138291413145,0.327605586762842,59,True
France,STM,1.2849694006046426,-1.2801819567033004,5.7308673535311065,-1.049023353145172,0.3655587957342456,0.2242190093289982,1.2203560129191318,3.9518279409613426e-07,0.298595007239921,59,True
France,SU.PA,0.7208732838580697,0.8876882350015639,5.0529166121091,1.1432193026628892,0.3093585120648373,0.142664789308125,0.7764811466477872,4.7909061298479145e-06,0.2577264530243787,59,True
France,SW.PA,0.2969128954549303,0.1892784737873792,1.7590112353092575,0.2060281973760717,0.0514879076166592,0.1687953376845424,0.9187017903276676,0.0839425254546213,0.8375030027699415,59,True
France,TEP.PA,0.4629177909134006,-2.1984375488661176,1.8362800493896043,-1.6022676376234362,0.0558525250303463,0.2520954203403117,1.372078857017265,0.0715331977913685,0.1146243340362628,59,True
France,TTE.PA,0.3795044619799847,1.176247525298966,2.5980899616766844,1.4795236280701058,0.1058833550385727,0.1460705624431382,0.7950177361028469,0.0119101548527022,0.1445063269744187,59,True
France,VIE.PA,0.7659376346710689,0.5581732903413299,6.160608409057343,0.8248692801963039,0.3997036176876202,0.1243282454935758,0.6766809041651967,7.83799130815007e-08,0.4128845549668483,59,True
France,WLN.PA,0.9090865129982828,-6.052458594911049,2.681766341214812,-3.280450070805858,0.1120370948759189,0.338987964397553,1.845008600732714,0.0095633120317529,0.0017711443496341,59,True
Germany,1COV.DE,0.7409412246797031,0.1350811575002996,4.840106636212814,0.1492345709853155,0.291279537568069,0.1530836571112118,0.9051599546166248,1.028195152280654e-05,0.8818953053271952,59,True
Germany,ADS.DE,0.8161339645704809,-1.2341074228047684,4.639063960297657,-1.1863842420313082,0.2740787544895384,0.1759264307530942,1.040225737229744,2.093039171763216e-05,0.2403921701286178,59,True
Germany,AFX.DE,1.0708215660102682,-1.6897283219900974,5.014792365662203,-1.338308471827946,0.3061316021804434,0.21353258279296,1.2625850897305912,5.4976518574315625e-06,0.1861101374888748,59,True
Germany,ALV.DE,0.4834298128952287,1.218373814239459,4.520527271187036,1.9268136626981536,0.2639003394905401,0.106941023445764,0.6323257084098869,3.165762757642095e-05,0.0589932215011134,59,True
