portfolio,avg_return,std_return,portfolio_beta,n_stocks,beta_min,beta_max
P1,1.1951851227605472,2.4337337508387207,0.3596377885066832,44,0.2249451324217334,0.4554960216032628
P2,1.0434511905625574,3.2827752867796565,0.5279535979859973,44,0.4586871230462677,0.5874598713243031
P3,0.8240822956500949,3.9987408395356336,0.6444584740009695,43,0.5905444922317786,0.7065246445445796
P4,0.7647466172611964,4.9155810992245765,0.8063959591641677,44,0.7118947823074119,0.9090865129982828
P5,0.5384576790370861,5.8873165065539315,1.1022252862909276,44,0.9126079119808824,2.1359812034615246
