gamma_0,gamma_1,gamma_0_se,gamma_1_se,gamma_0_tstat,gamma_1_tstat,gamma_0_pvalue,gamma_1_pvalue,r_squared,n_stocks,date
0.5020040268528893,13.877981056766561,1.214843821977065,1.6407419076717635,0.41322515517749125,8.458357156525377,0.6798497015542286,4.009718127113184e-15,0.24794781365042218,219,2023-01-31
3.5842911130059036,-2.4643623052248174,1.1595410092313254,1.5660511195699724,3.0911292351634687,-1.5736154934083604,0.002255249435881198,0.11703319986636222,0.011282612782567036,219,2023-02-28
0.4513066228764829,-3.5104862420411926,1.507094846030796,2.0354498479439393,0.2994546919625395,-1.7246734158482095,0.7648797569609052,0.0860102526136353,0.013522014656635162,219,2023-03-31
5.159553465058598,-4.665084060936953,1.1004224194093062,1.4862068251111284,4.688702605521419,-3.138919820656946,4.858005647913718e-06,0.0019314273642798028,0.04343264387452539,219,2023-04-30
-1.1791277558468283,-4.549234724088877,1.1988585484714553,1.619152541473592,-0.9835420178220493,-2.809639368473964,0.32643606882977405,0.005412803150682049,0.03510129574428289,219,2023-05-31
1.0176816027842952,3.3250159644719677,1.631410977538893,2.203348538355866,0.6238045574019276,1.5090739874287376,0.5334111289655138,0.13273448813009822,0.010385499342071114,219,2023-06-30
-4.950892772902727,12.067396633768151,1.473395160316946,1.9899357780480271,-3.360193454034237,6.06421411529438,0.0009201402248924023,5.819567226708334e-09,0.14491079636487358,219,2023-07-31
2.7553745102963405,-7.405784332003992,1.035569658199867,1.3986180822459031,2.660733141878658,-5.295072633489602,0.008379674536171998,2.909740644703288e-07,0.11442232528317875,219,2023-08-31
2.84485411943273,-7.500665921770341,1.2489789457864602,1.6868440708835681,2.2777438555150145,-4.446567439894723,0.02371587676252002,1.392630926768041e-05,0.08350634860109873,219,2023-09-30
2.4208008247023494,-10.299659093080068,1.2924370660625406,1.7455376723784204,1.8730512210373327,-5.900565342165342,0.06240585554398003,1.3787419199380327e-08,0.13826197911964566,219,2023-10-31
