return,volatility
0.87327155844351,1.5628971864767498
0.9526448922654298,1.5667905902280113
1.032018226278515,1.5785654460407441
1.1113915603967708,1.5976791358481828
1.1907648943045102,1.6235244801557407
1.270138228249115,1.655635456724169
1.3495115622533993,1.6937440550335985
1.4288848962265015,1.7367337453677791
1.5082582297331593,1.7842096893840134
1.5876315642563825,1.8357012308112888
1.6670048980078116,1.891317166528913
1.746378231965318,1.950803431607566
1.8257515661128723,2.01388737058676
1.905124899925681,2.08044212945008
1.9844982336766566,2.151215163308807
2.0638715680805593,2.2264616623626536
2.1432449019174094,2.306646813730824
2.2226182356332753,2.393541061066518
2.3019915693134654,2.4879427047014735
2.3813649029713977,2.588270666536152
2.460738238047142,2.6936391867637615
2.5401115716817824,2.8040687674046465
2.619484906030444,2.920331494203779
2.6988582392519467,3.042760641325342
2.7782315740455608,3.1710909178469024
2.857604907198579,3.304645622281857
2.9369782400542124,3.4428343199964653
3.0163515733816433,3.5856360328402634
3.095724902708942,3.732764666230703
3.175098243474006,3.8840116765524852
3.2544715779854716,4.039876379084612
3.3338449096134477,4.199886474604727
3.4132182441050603,4.363586260711511
3.4925915694973275,4.53093422697507
3.5719649134560205,4.70255615926796
3.651338242971101,4.878763093291132
3.7307115810533213,5.058820991838004
3.810084906099899,5.241995304230335
3.8894582295428046,5.42993797735379
4.286324917706491,6.584324204106275
4.365698252846537,6.913064791882386
