Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,BA.L,BAB.L,BARC.L,BLND.L,BP.L,BRBY.L,BT-A.L,BTRW.L,CCH.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EXPN.L,FRES.L,GSK.L,HSBA.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JD.L,LAND.L,LLOY.L,MKS.L,NG.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RR.L,RS1.L,RTO.L,SBRY.L,SDR.L,SGE.L,SHEL.L,SMIN.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TATE.L,TPK.L,TSCO.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2020-12-31,2360.97412109375,2261.215576171875,2896.57666015625,1438.2462158203125,319.4292907714844,488.0871887207031,279.8473815917969,146.43052673339844,487.77496337890625,254.15834045410156,1787.1148681640625,131.96429443359375,668.103271484375,2373.336181640625,1362.0418701171875,6588.6611328125,5168.80712890625,2874.06591796875,2190.47119140625,1132.67724609375,2775.077392578125,1127.890625,1348.63330078125,377.7178649902344,1156.201171875,1529.9166259765625,548.6162109375,5640.7607421875,106.51123809814452,171.9464111328125,671.841064453125,36.356964111328125,136.26805114746094,862.927490234375,7076.80908203125,2287.0,697.5870361328125,1305.54296875,2563.230712890625,2757.790771484375,679.5836791992188,1790.706298828125,5448.06982421875,6530.67431640625,111.2361831665039,869.282958984375,509.169677734375,224.87564086914065,565.968017578125,581.3624877929688,1295.227783203125,1502.61669921875,1508.0718994140625,11285.697265625,1496.6324462890625,465.2042846679687,1131.4178466796875,2283.876708984375,784.5931396484375,1272.9398193359375,291.903076171875,893.0178833007812,120.46597290039062,1987.9281005859375,798.185791015625,3096.491455078125
2021-01-31,2350.748779296875,2114.396728515625,2872.655029296875,1427.7628173828125,329.3209533691406,461.4261169433594,232.9561767578125,133.31288146972656,447.5758972167969,270.8162536621094,1716.20947265625,125.32867431640624,636.99169921875,2159.666015625,1309.578857421875,6279.005859375,5506.20703125,2944.968994140625,2316.383544921875,1240.09912109375,2554.23046875,986.1925659179688,1363.7073974609375,381.606201171875,1109.948974609375,1464.6546630859375,499.250732421875,5510.92724609375,105.6136703491211,149.35342407226562,612.9127807617188,32.924800872802734,141.51681518554688,847.9634399414062,7719.97314453125,2777.0,671.8980102539062,1136.4136962890625,2403.340576171875,2542.51025390625,811.6249389648438,1810.6864013671875,5566.59228515625,6187.2685546875,91.68860626220705,876.2732543945312,497.1798400878906,243.72332763671875,579.5364379882812,589.1538696289062,1335.3480224609375,1416.724365234375,1539.53173828125,11070.873046875,1480.6683349609375,443.33697509765625,1171.3443603515625,2307.216796875,801.34619140625,1275.3021240234375,301.9947509765625,920.2966918945312,124.3885269165039,1893.502685546875,764.063232421875,2783.845703125
2021-02-28,2699.85546875,2365.088134765625,3077.98681640625,1779.711181640625,355.5527038574219,483.1943359375,259.65118408203125,159.3285369873047,488.4573974609375,291.0152282714844,1813.080078125,123.2831039428711,662.5191040039062,2234.550537109375,1453.977294921875,6161.13720703125,5759.75634765625,2808.65576171875,2316.383544921875,1411.974365234375,2271.51025390625,908.7032470703124,1196.6859130859375,424.9263610839844,1105.45556640625,1328.1533203125,550.4149780273438,5349.13427734375,109.552978515625,166.02825927734375,663.0665893554688,38.91114044189453,141.86672973632812,804.4678955078125,7550.1943359375,2200.0,706.946533203125,1365.150146484375,2458.302490234375,2581.3798828125,750.098876953125,1690.806396484375,6162.19482421875,5989.6123046875,107.68661499023438,968.7075805664062,466.3059997558594,225.5736846923828,594.122314453125,558.0997924804688,1441.936767578125,1462.16748046875,1383.73095703125,10701.177734375,1321.7310791015625,461.4099731445313,1171.8436279296875,2185.469482421875,845.787841796875,1358.4637451171875,223.8770294189453,857.4266967773438,121.57872772216795,1980.4339599609375,851.8635864257812,3391.15771484375
2021-03-31,2768.021484375,2412.02978515625,3090.944580078125,1687.3558349609375,401.0406799316406,504.2635803222656,228.55702209472656,185.61502075195312,503.6218566894531,293.9473876953125,1895.9696044921875,154.465576171875,744.6859741210938,2306.439697265625,1460.472900390625,6340.93701171875,6278.8330078125,2985.697509765625,2546.222900390625,1516.8980712890625,2495.363525390625,862.968505859375,1294.65576171875,421.9353942871094,1151.8907470703125,1487.0494384765625,559.4086303710938,5594.81884765625,119.82512664794922,164.86862182617188,688.1542358398438,42.43806838989258,150.81463623046875,861.9299926757812,7855.7958984375,2035.0,731.0426025390625,1493.0875244140625,2563.32470703125,2930.215087890625,770.6741333007812,1817.1798095703125,5527.74853515625,6486.74951171875,105.28692626953124,991.6769409179688,483.9909362792969,241.82859802246097,593.6134033203125,612.2514038085938,1411.115478515625,1535.575439453125,1376.240478515625,11390.609375,1451.9580078125,498.7540893554687,1271.6597900390625,2301.2294921875,892.556396484375,1456.7457275390625,228.39385986328125,923.8893432617188,131.40309143066406,1775.595947265625,918.5121459960938,3422.12255859375
2021-04-30,2990.1806640625,2305.161376953125,3118.853759765625,1862.581298828125,393.27923583984375,505.4618225097656,288.0458068847656,175.212158203125,517.1902465820312,302.2774353027344,2058.253173828125,164.59365844726562,769.8146362304688,2498.1435546875,1571.3946533203125,6756.474609375,6272.84423828125,3246.8642578125,2865.999755859375,1690.272216796875,2790.17041015625,822.4263916015625,1346.5225830078125,451.55615234375,1280.2115478515625,1502.498046875,561.8070068359375,6130.1318359375,120.67283630371094,183.62274169921875,718.7676391601562,45.33147048950195,157.96295166015625,908.4182739257812,7791.88037109375,2097.0,708.3405151367188,1487.3480224609375,2708.229736328125,3122.833251953125,829.1465454101562,1877.619384765625,6054.3466796875,6439.83154296875,104.60700988769533,1064.57958984375,499.9774475097656,237.04185485839844,612.067138671875,637.4287719726562,1362.4080810546875,1623.46533203125,1568.4947509765625,11805.267578125,1464.930908203125,518.91796875,1359.1192626953125,2471.8759765625,930.7156982421876,1534.737060546875,220.5594940185547,966.2017822265624,136.30528259277344,1915.4854736328125,973.387451171875,3240.32861328125
2021-05-31,3053.491455078125,2318.14599609375,2929.469970703125,1542.375244140625,404.1227111816406,525.9749145507812,299.0437927246094,182.79966735839844,508.8097534179687,305.41998291015625,2133.15283203125,174.47227478027344,754.3311157226562,2565.040283203125,1607.3695068359375,6980.2255859375,5977.369140625,3399.670166015625,2883.986572265625,1648.302734375,2701.229248046875,896.4808959960938,1351.1463623046875,454.0492858886719,1241.2657470703125,1594.69091796875,543.6196899414062,5421.0419921875,128.05284118652344,188.98109436035156,701.2171630859375,49.78279495239258,165.36122131347656,936.9496459960938,8147.41845703125,1889.0,732.6770629882812,1454.8773193359375,2633.278564453125,3150.75146484375,817.3587646484375,1837.478271484375,6042.3896484375,6356.97509765625,107.00670623779295,988.6808471679688,473.4509582519531,264.86468505859375,603.4154663085938,656.0121459960938,1343.0447998046875,1547.6741943359375,1538.718505859375,12690.41796875,1538.776123046875,507.133544921875,1395.45166015625,2447.92578125,891.1602172851562,1639.5826416015625,222.80503845214844,981.5700073242188,127.83604431152344,1918.48291015625,971.7910766601562,3178.398681640625
2021-06-30,2810.769775390625,2213.2744140625,3134.672119140625,1433.525146484375,398.9138793945313,521.3804321289062,289.9454650878906,170.8393096923828,493.7449951171875,314.2855529785156,2063.246337890625,193.5809326171875,693.2984619140625,2609.970947265625,1520.93017578125,7360.3544921875,5908.52099609375,3456.59765625,2902.0947265625,1744.2327880859375,2784.17431640625,770.6380004882812,1426.9810791015625,416.1536254882813,1171.3636474609375,1552.0289306640625,501.2493591308594,5523.6103515625,125.21053314208984,183.7427215576172,673.4957275390625,46.58966827392578,146.41566467285156,918.59375,7845.810546875,2003.0,673.7122802734375,1331.29541015625,2643.34521484375,2949.3427734375,829.1465454101562,1917.412109375,5927.798828125,6386.9287109375,98.90771484375,1027.62890625,494.6354064941406,271.04742431640625,595.9512329101562,683.64892578125,1444.1781005859375,1588.12646484375,1560.6929931640625,13604.728515625,1497.36279296875,460.39495849609375,1474.8350830078125,2496.4287109375,859.0504760742188,1686.5135498046875,222.5627288818359,972.388916015625,120.90118408203124,1849.5374755859375,971.9906616210938,3118.466552734375
2021-07-31,3121.935791015625,2004.5845947265625,3389.912109375,1492.4439697265625,380.6340637207031,575.31640625,255.8518524169922,174.2137451171875,509.4736022949219,288.5440673828125,2061.248779296875,173.2249755859375,701.6754150390625,2714.80908203125,1519.9307861328125,8411.2626953125,6016.34765625,3565.9580078125,2956.05908203125,1815.181396484375,3166.1904296875,817.1799926757812,1425.37255859375,396.3581848144531,1277.927978515625,1537.0767822265625,494.6539611816406,5150.0439453125,111.89663696289062,179.34693908691406,707.6898803710938,45.53693008422851,135.46824645996094,922.1696166992188,7871.7763671875,1855.0,676.7003173828125,1314.8177490234375,2528.416748046875,2895.500732421875,868.5059814453125,2112.25048828125,6079.25732421875,5514.3046875,99.6976089477539,1015.7410278320312,566.3825073242188,282.5953674316406,620.3795166015625,701.0347900390625,1440.5843505859375,1553.6668701171875,1460.3094482421875,14998.6767578125,1442.47802734375,431.4330139160156,1584.6739501953125,2794.8818359375,860.2274780273438,1699.99365234375,232.5953063964844,1071.087890625,115.79383850097656,1726.6346435546875,928.0202026367188,3042.552490234375
2021-08-31,3003.04736328125,1977.6171875,3600.286376953125,1453.9969482421875,397.1448974609375,567.7254638671875,363.03173828125,184.59669494628903,529.0303955078125,296.2764587402344,1857.4034423828125,169.4331817626953,736.9786376953125,2625.583251953125,1499.4454345703125,9138.505859375,6170.10205078125,3489.555419921875,3063.988037109375,1931.5968017578125,3202.169921875,852.935302734375,1469.8087158203125,385.13909912109375,1335.85693359375,1536.5782470703125,530.6287841796875,5263.91162109375,115.48689270019533,201.84030151367188,707.091552734375,43.680931091308594,179.4579315185547,939.333740234375,7899.74072265625,2013.0,620.9227905273438,1468.447509765625,2618.36083984375,2932.46630859375,766.8106689453125,2180.1943359375,5362.8193359375,5530.2802734375,114.84573364257812,1062.682861328125,579.972412109375,303.24395751953125,641.2454833984375,741.6021728515625,1429.00537109375,1440.80029296875,1393.3868408203125,16097.8486328125,1629.6884765625,454.203125,1607.64013671875,2756.95166015625,821.1261596679688,1798.847900390625,254.7068328857422,1055.615478515625,121.55461120605467,1750.115966796875,981.5059814453124,3204.369384765625
2021-09-30,2567.814208984375,1857.7618408203125,3098.778564453125,1360.1263427734375,389.1539611816406,564.5291137695312,371.7300720214844,189.309326171875,494.1075134277344,339.5711669921875,1812.9537353515625,159.45480346679688,658.5936889648438,2395.882568359375,1522.9288330078125,8535.134765625,6188.072265625,3601.868896484375,2840.135009765625,2128.45361328125,3107.22412109375,780.496337890625,1411.3145751953125,389.0276489257813,1279.9256591796875,1553.730224609375,549.0159301757812,4971.24951171875,106.31177520751952,209.63796997070312,695.1914672851562,46.47650909423828,183.4569854736328,882.7522583007812,8202.46484375,1662.5,643.2667846679688,1453.939453125,2653.43994140625,2661.16357421875,711.1242065429688,2145.364501953125,4899.234375,5821.57275390625,140.12258911132812,1076.66552734375,583.1914672851562,284.690185546875,609.9224853515625,709.0283203125,1652.1932373046875,1439.3018798828125,1285.5118408203125,14958.705078125,1568.2943115234375,435.4557800292969,1504.8990478515625,2599.240234375,805.0667114257812,1532.7401123046875,252.8600311279297,966.67431640625,112.92340850830078,1690.1634521484375,998.3700561523438,3312.2470703125
