Date,monthly_rate_pct
2020-12-31,-0.06640868679249623
2021-01-31,-0.05382572760697091
2021-02-28,-0.04821096445907225
2021-03-31,-0.05550244896879164
2021-04-30,-0.05357424608816164
2021-05-31,-0.05474788606468772
2021-06-30,-0.0555862931597928
2021-07-31,-0.056005525720936866
2021-08-31,-0.05634092569807292
2021-09-30,-0.05634092569807292
2021-10-31,-0.0718667193316147
2021-11-30,-0.08279263226116385
2021-12-31,-0.064142467638717
2022-01-31,-0.055670138124519486
2022-02-28,-0.06263196886218125
2022-03-31,-0.05474788606468772
2022-04-30,-0.05902457133591943
2022-05-31,-0.0429345741460474
2022-06-30,-0.04159502622806954
2022-07-31,-0.005001375527313723
2022-08-31,0.002582966357400629
2022-09-30,0.06551342326048815
2022-10-31,0.0803935737177186
2022-11-30,0.12554612786845887
2022-12-31,0.15459538396682682
2023-01-31,0.1790593419217945
2023-02-28,0.21957868054476304
2023-03-31,0.22283197150285705
2023-04-30,0.21485934425580222
2023-05-31,0.24029853695815007
2023-06-30,0.2769909743706611
2023-07-31,0.2908034521602154
2023-08-31,0.2958869894007288
2023-09-30,0.3004033110041382
2023-10-31,0.30773756596662594
2023-11-30,0.3045144442204162
2023-12-31,0.2958869894007288
2024-01-31,0.3072541703255549
2024-02-29,0.311845394648147
2024-03-31,0.30902649574608976
2024-04-30,0.30080644524299593
2024-05-31,0.29427347510455615
2024-06-30,0.2777184688554257
2024-07-31,0.27715264482899293
2024-08-31,0.26542409865049077
2024-09-30,0.2557062899021245
2024-10-31,0.22632796417700884
2024-11-30,0.21900923517390591
2024-12-31,0.2067982733513718
2025-01-31,0.20598362698427408
2025-02-28,0.1847772084249577
2025-03-31,0.17252023849956277
2025-04-30,0.14713676651572083
2025-05-31,0.15205522240770986
2025-06-30,0.1463167654770947
2025-07-31,0.15254692189172747
2025-08-31,0.15312053773044454
2025-09-30,0.1451686399304597
2025-10-31,0.15139958178649326
2025-11-30,0.15393992624446184
