return,volatility
0.8732013040042597,1.5628981912915598
0.9525760717777405,1.566783894847094
1.031950839638245,1.5785530533907608
1.1113256072965623,1.5976604308470608
1.1907003751197487,1.6235008549417682
1.2700751432753026,1.6556080227897807
1.3494499106692823,1.6937126375295672
1.4288246783939245,1.7366994717494015
1.5081994461447952,1.7841730191402425
1.587574213836457,1.8356664551690907
1.6669489816352023,1.8912766052168186
1.7463237495503252,1.9507614122370251
1.8256985173689628,2.0138440648009306
1.9050732850400505,2.080398246391245
1.9844480525643813,2.151169402358617
2.063822820284047,2.226414053870016
2.143197588698758,2.3065981059371548
2.222572355994039,2.3934883660004944
2.301947124528901,2.487888424648236
2.3813218916598693,2.5882154033629865
2.460696659034989,2.6935829046630406
2.5400714274606955,2.804011719661531
2.6194461945509557,2.9202747379899874
2.6988209639219614,3.0427019699094697
2.778195730685469,3.171031756140022
2.8575704982022327,3.3045868978202892
2.936945266265525,3.4427760917840122
3.016320038357199,3.5855784435346068
3.0956948034252973,3.732708222504897
3.1750695697321047,3.883956190067666
3.2544443363593407,4.039822487502167
3.3338191073180647,4.1998343184179365
3.41319387259721,4.363535694960133
3.4925686402414042,4.530885308040578
3.571943410670318,4.702509247166823
3.651318181574699,4.8787180371531
3.730692946650265,5.058778490367695
3.8100677212269773,5.2419553639148315
3.889442481404129,5.429899837895527
3.968817269278315,5.628456887113674
4.048192036161467,5.838941599884351
4.1275667845489945,6.060111286545667
4.206941617014863,6.299398231216086
4.2863163448117785,6.5842911061619285
4.365691104675813,6.913033346387496
4.445065867668202,7.279687339041172
4.5244407150995025,7.708497047980811
4.6038155388812,8.22806290643635
4.683191625142259,8.943077291592958
4.762565281033572,11.128176889040066
