portfolio,expected_return,volatility,sharpe_ratio
Minimum-Variance (Constrained),0.8732586375672069,1.5628975732654975,0.4767222027119022
"Optimal Risky (Tangency, Constrained)",2.2178124511829025,2.388039225934648,0.8750366261417079
Equal-Weighted,0.7899133207160496,3.892333149685856,0.17000668530710528
